runnum,ebeam_mean(GeV),ebeam_std(GeV)
12313,9.859146540178571,0.00026620599446991786
12320,9.859617724014337,0.0003782322329986106
12335,9.859248727272728,0.00028631211723678267
12336,9.859391554404144,0.0003359710383220614
12340,9.8595134,0.00012392893344056045
12345,9.85971382022472,0.0002396551935577368
12355,9.859253405114401,0.00023432671532653076
12358,9.859661771771773,0.00025908430221306623
12363,9.859495895522388,0.00020177394404051745
12367,9.85971730994152,0.0005547641924765782
12368,9.859645684210527,0.0001607141815535731
12369,9.85957751540041,0.0001396887606972565
12370,9.859618369304556,0.00015311423531316038
12380,9.859503805855162,0.0001654674427035755
12382,9.859412201834862,0.00018745915066130644
12400,9.859305594713657,0.0002548184196484028
12401,9.859239074446679,0.00028883516843772046
12414,9.859467730496455,0.0001758148038676288
12415,9.85945993150685,0.0001851976366866747
12427,9.859218257261412,0.00026865768220484784
12428,9.859222870813397,0.00018240484231333252
12429,9.859203909774436,0.00022992038999858014
12471,9.85903210045662,0.0005053339887483894
12472,9.85925702970297,0.0003747787201917506
12491,9.859361142857143,0.00033197932036736744
12496,9.859078137931034,0.0002342130254714461
12497,9.859019502133712,0.0002674681485067448
12524,9.859483311827956,0.0002159027747790711
12525,9.859447753479124,0.00020445906394039233
12526,9.859460445682451,0.0002533238740627642
12548,9.859509052987597,0.00016140118862756185
12561,9.859287001180638,0.00022961315756318926
12563,9.859215874213836,0.000197642488922293
12575,9.859007201365188,0.00024649135919401524
12576,9.859021888544891,0.0002761111336063001
12587,9.85904055487053,0.00034840775442444345
12588,9.85905500622665,0.0003110942696372322
12625,9.85889046997389,0.000267438476581564
12626,9.859372955801105,0.0004498554779233345
12657,9.859304846153847,0.00020898501247212692
12658,9.859311338912134,0.00017408309070943948
12675,9.859027408637873,0.0003343490129454126
12676,9.858884278350516,0.00029116933429843245
12677,9.859043843843844,0.0003823818814393569
12691,9.859352396166134,0.0002272797812381125
12692,9.859364366666666,0.00021250677476267811
12704,9.85954686070686,0.00015832824334412199
12705,9.859578663594469,0.00015952348663744042
12716,9.859540624092888,0.00013523360301202758
12730,9.859437995867768,0.00018448381342474533
12731,9.859402469135802,0.00015681553454396468
12747,9.859660470588235,5.19593678787803e-05
12758,9.859770243902439,0.000231897837519858
12765,9.859831451612903,0.00020428141302923376
12776,9.859843489681051,0.00016541647821592304
12777,9.859861909385113,0.0002246626147431965
12809,9.859887094240838,0.00024268767723287357
12810,9.859747327586208,0.00019485973536104945
12812,9.859627185185186,0.00018663017885535053
12822,9.860048520900321,0.00026487440489477413
12823,9.859971981981984,0.0002921652233698534
12895,9.859007427701673,0.0003592220439404482
12910,9.859684991568297,0.0002267537692918573
12923,9.859714452926209,0.0003675224114333269
12930,9.859873561643836,0.0002620294564538337
12931,9.859826873889874,0.0002564897799129668
12959,9.859454782270607,0.00020498246871235532
12960,9.859354210526316,0.0002380316456428494
12973,9.859309987012987,0.0004156892217619874
12974,9.859579380053908,0.00018813279121942446
13027,9.858904265536724,0.00037072793960500557
13028,9.859006534508076,0.00030870989008126526
13041,9.859351693363845,0.0005377167728236091
13042,9.859326493313521,0.0006181242316909412
13043,9.859336020408163,0.00033612956565343154
13056,9.859331715542522,0.0002176826720027568
13057,9.859278205128204,0.00018911549522807606
