runnum,totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
11989,0.00130755,0.995518,0.997672
11990,0.00198962,0.992761,0.995082
11991,0.00229598,0.984748,0.989036
11992,0.00160917,0.985356,0.990953
11993,0.00113811,0.913972,0.924728
11994,0.0236623,0.894129,0.894274
12000,0.0223243,0.907975,0.908114
12008,0.0253461,0.92472,0.924846
12022,0.0321092,0.989798,0.989857
12035,0.0318323,0.988107,0.988164
12049,0.034047,0.990027,0.99068
12052,0.00875864,0.917428,0.919777
12053,0.0335387,0.952917,0.95352
12058,0.0338284,0.953561,0.95383
12064,0.0348756,0.954726,0.954776
12072,0.0327866,0.989969,0.990605
