runnum,totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
13656,0.0122799,0.977851,0.977854
13657,0.00484809,0.977359,0.977361
13663,0.0294374,0.962082,0.962086
13676,0.0299769,0.959021,0.959024
13683,0.0465479,0.959187,0.959191
13696,0.0527743,0.953898,0.953902
13697,0.0397992,0.951685,0.951688
13719,0.0551724,0.937511,0.937516
13720,0.0309702,0.932613,0.932619
13730,0.0873423,0.948005,0.948009
13747,0.0897387,0.961023,0.961028
13768,0.0514135,0.970173,0.970178
13769,0.0491025,0.970506,0.970509
13795,0.0476982,0.943952,0.943955
13796,0.0490025,0.96376,0.963763
