runnum,totcharge(C)
11996,0.00651399
11997,0.00342614
11998,0.0155879
11999,0.0164604
12001,0.0129417
12002,0.0129081
12004,0.0109482
12006,0.0126405
12013,0.0123916
12014,0.00409855
12017,0.0273946
12019,0.0197013
12021,0.0129128
12029,0.0289188
12030,0.0277528
12038,0.00692662
12039,0.00149455
12040,0.000620016
12041,0.00655155
12042,0.00682457
12043,0.00895837
12044,0.00701956
12045,0.0054707
12046,0.00521427
12047,0.00699298
12048,0.00384835
12050,0.0335022
12051,0.0242493
12055,0.0214874
12056,0.0186954
12057,0.0215622
12059,0.0161023
12060,0.00869104
12062,0.0197624
12063,0.0166414
12065,0.0203831
12066,0.00416998
12068,0.0157438
12069,0.00429183
12070,0.00391913
12071,0.0118818
12073,0.00910812
