runnum,totcharge(C)
13660,0.00254258
13661,0.0193945
13662,0.0183652
13664,0.0150998
13665,0.0092472
13666,0.0120509
13677,0.0309116
13678,0.026066
13679,0.0305753
13680,0.0300274
13681,0.0352728
13682,0.00211999
13684,0.0371281
13685,0.036081
13686,0.0615844
13687,0.0617675
13688,0.0311507
13689,0.00493796
13694,0.0615296
13695,0.0173658
13698,0.00190175
13699,0.0199993
13700,0.0149371
13710,0.00832891
13711,0.00522394
13712,0.0758542
13714,0.0749529
13715,0.0742229
13716,0.0735536
13717,0.0187537
13721,0.0435925
13723,0.0850759
13724,0.0145017
13727,0.0737204
13728,0.0738623
13729,0.0762218
13731,0.0756742
13732,0.0809645
13734,0.0725146
13736,0.0769201
13737,0.0237798
13746,0.0546688
13748,0.0776923
13749,0.0525515
13753,0.0540108
13754,0.00356059
13755,0.0442855
13756,0.00147932
13757,0.00147072
13758,0.00146646
13760,0.00144441
13761,0.00146737
13764,0.0379567
13765,0.0397089
13766,0.0400685
13767,0.0340459
13770,0.0406726
13771,0.00980597
13773,0.0390088
13775,0.0144313
13776,0.0565864
13777,0.0388474
13778,0.0791555
13779,0.0785586
13793,0.0240071
13797,0.045499
13798,0.0383296
13799,0.035655
