runnum,totcharge(C)
13305,0.0231078
13306,0.028247
13307,0.0281883
13308,0.0299594
13309,0.0280194
13314,0.0273605
13315,0.00857957
13316,0.00291916
13317,0.0311946
13318,0.0324308
13319,0.0278241
13322,0.0259413
13323,0.0287459
13324,0.0244182
13325,0.0274813
13342,0.0109945
13344,0.0167084
13353,0.0127035
13357,0.0407567
13358,0.0374948
13359,0.0369504
13360,0.0446254
13361,0.0442051
13362,0.03385
13363,0.038716
13364,0.0384291
13368,0.0322539
13369,0.0382812
13370,0.0320141
13371,0.0160376
13372,0.0363842
13373,0.027633
13381,0.0371581
13382,0.0370806
13384,0.0369961
13385,0.0394705
13387,0.0373004
13388,0.0379763
13389,0.0181057
13390,0.00775722
13391,0.0431108
13392,0.00995498
13393,0.0352998
13394,0.0163465
13395,0.00932977
13398,0.0372927
13399,0.00663063
13400,0.0368513
13402,0.0365041
13403,0.0294742
13406,0.0401949
13407,0.0507153
