runnum,totcharge(C),daqlvtm
11996,0.00651399,0.890613
11997,0.00342614,0.885036
11998,0.0155879,0.890296
11999,0.0164604,0.903485
12001,0.0129417,0.905273
12002,0.0129081,0.915108
12004,0.0109482,0.917144
12006,0.0126405,0.919954
12013,0.0123916,0.98609
12014,0.00409855,0.99308
12017,0.0273946,0.992416
12019,0.0197013,0.989357
12021,0.0129128,0.98532
12029,0.0289188,0.986747
12030,0.0280898,0.985838
12038,0.00692662,0.986443
12039,0.00149455,0.98641
12040,0.000620016,0.98541
12041,0.00655155,0.98917
12042,0.00682457,0.989574
12043,0.00895837,0.989952
12044,0.00701956,0.98943
12045,0.0054707,0.98961
12046,0.00521427,0.990583
12047,0.00699298,0.990369
12048,0.00384835,0.991586
12050,0.0335022,0.990335
12051,0.0242493,0.98892
12055,0.0214874,0.953829
12056,0.0186954,0.954928
12057,0.0215622,0.955501
12059,0.0161023,0.955954
12060,0.00869104,0.956325
12062,0.0197624,0.95546
12063,0.0166414,0.955688
12065,0.0203831,0.954974
12066,0.00416998,0.919859
12068,0.0157438,0.988267
12069,0.00429183,0.909964
12070,0.00391913,0.986788
12071,0.0118818,0.989977
12073,0.00910812,0.989891
