runnum,ebeam_mean(GeV),ebeam_std(GeV)
13660,4.014751033333334,0.0001328410882885568
13661,4.014796578947369,8.859750879014151e-05
13662,4.014762683333333,0.00012395122521588822
13664,4.014820402843602,8.33564237986499e-05
13665,4.01473552631579,0.00015374305001449005
13666,4.014722247191012,0.00017024264424330627
13677,4.014732830626451,8.309348385919038e-05
13678,4.014637255813954,0.00011176757987500911
13679,4.0147216071428575,7.67027858278052e-05
13680,4.0147282816229115,6.139453493447813e-05
13681,4.014739585921325,5.602898598277255e-05
13682,4.014680833333333,9.49699200496914e-05
13684,4.014694754716981,6.043350191304194e-05
13685,4.014678635514019,6.713929738386811e-05
13686,4.014660126926564,9.573188431997193e-05
13687,4.0147147,7.803780350824999e-05
13688,4.014693632183908,5.410480419900522e-05
13689,4.014705076923077,3.0265650751325628e-05
13694,4.014667438016529,6.568011612866656e-05
13695,4.014691166666667,4.6889585132102376e-05
13698,4.014590705882354,9.608761174833344e-05
13699,4.014590391891892,9.56325451714924e-05
13700,4.014567910447761,0.00010779742978406952
13710,4.014793783783784,6.27557176542701e-05
13711,4.014810166666667,6.325872798795164e-05
13712,4.014811165467626,9.034959296937655e-05
13714,4.014864098360656,7.702602092043833e-05
13715,4.014899287410927,8.743927702065587e-05
13716,4.014919215017065,0.00012853368934188312
13717,4.014922145922747,0.0001491170426471931
13721,4.0148848242187505,0.00010469772144644375
13723,4.014950504950495,0.00014031481832267378
13724,4.015032342857143,0.00020712508615194496
13727,4.0149743810548975,0.00017798340290484427
13728,4.0149658488372095,0.00011906445730246572
13729,4.014933000968054,0.00020075945197424512
13731,4.014962679474217,0.00018989182780853103
13732,4.0148791236306725,0.00022543652680031125
13734,4.014959377085651,0.00013127544262025203
13736,4.014956719242902,0.00012689889899500996
13737,4.014792579710146,0.00036637842639949454
13746,4.014394272930649,0.000716449405564546
13748,4.014659236868186,0.00056715867330238
13749,4.014701295180723,0.0005031027202532658
13753,4.014372756339581,0.0007378185951950551
13754,4.0136099504950495,0.0005954332822048173
13755,4.014664508474576,0.000623431828878253
13756,4.014468260869565,0.0007043478748844691
13757,4.0149462499999995,4.773189010783778e-05
13758,4.0149566666666665,3.436498771895391e-05
13760,4.0149360000000005,1.7237832147510216e-05
13761,4.014978666666667,2.774029216753431e-05
13764,4.0147148582995955,0.0005696195308273947
13765,4.014820882352941,0.00044703427258671033
13766,4.014899264069264,0.00030551102164424944
13767,4.01477788372093,0.0005318104149505549
13770,4.014788987603306,0.0004905213433192724
13771,4.014920550458716,0.00022499726279163684
13773,4.0145130743243245,0.0007281818035135278
13775,4.014014292803971,0.0008169340715371646
13776,4.014852876304024,0.00046518965596829733
13777,4.014750184804928,0.0005515385949719231
13778,4.014757006048387,0.0005361231766193946
13779,4.014750768442623,0.0005329595392042034
13793,4.014535924855491,0.0007007738042854605
13797,4.014901104651163,0.00026000399679106773
13798,4.014912844036697,0.000281660402819014
13799,4.0145766138613865,0.0006750210309816326
