runnum,ebeam_mean(GeV),ebeam_std(GeV)
13453,5.964749297971919,0.0003386341685900722
13454,5.9648582019704435,0.0004287477817336942
13455,5.964805064935065,0.00039008350689215797
13468,5.964787433962265,0.00029439602132165456
13470,5.9648722924187725,0.0003407517182710121
13472,5.964811235955056,0.00031342861059496997
13473,5.964759082352941,0.00024315410769417892
13474,5.964962355289421,0.0004216207318393807
13475,5.96488945,0.00037118613304217674
13476,5.964909565217392,0.0004379062708561016
13477,5.96487762993763,0.00041782746172136867
13478,5.96468864118896,0.0003073799034145396
13479,5.964782954545455,0.0004895022967911101
13491,5.964919753265602,0.0005945905104194238
13492,5.964621142433234,0.00035394155108290444
13493,5.964610073421439,0.00039665494029501516
13494,5.964566390243903,0.0003904873062401889
13495,5.964556623931624,0.00038619766840491276
13496,5.964647453416149,0.00043723683424977703
13497,5.964548897637795,0.0003551823633286838
13502,5.9648384468664855,0.0003761881531096984
13503,5.9647809850746265,0.0003721734791448592
13504,5.9648664453961455,0.0004212308231203064
13505,5.964748744939271,0.00034297180489038727
13544,5.964480096618358,0.0002933171356669082
13545,5.964469454545455,0.00030685313589145087
13546,5.9644119,0.0002387454437984901
13547,5.964520762331839,0.00043179788817488703
13548,5.964464691358025,0.00043384715598851346
13549,5.964575780051152,0.0005153737431107698
13550,5.964629760479042,0.00048311608036067126
13551,5.965053214285715,0.0005349908519218944
13552,5.964722385321101,0.0004065298018382607
13554,5.9651897244094485,0.0005111178198085326
13556,5.964531609756098,0.0003570492412660599
13557,5.964805369458127,0.0005661789910915872
13558,5.964610446096654,0.0004694524695332958
13559,5.964522873051226,0.00042189727127412346
13560,5.96445653125,0.00045514353961506604
13561,5.964489616438357,0.0004744567347348328
13562,5.964391766055046,0.0004507968427348742
13563,5.964264902597403,0.0003011308603283248
13564,5.964161439114391,0.00026387664588268937
13565,5.964370099337748,0.00045575572309695283
13566,5.964345046948357,0.0004252684939053306
13567,5.964364113785558,0.00031698298865139593
13568,5.964446770833334,0.00044480554450810846
13569,5.964418346153847,0.0003462294909592361
13570,5.964429427312775,0.00028138583681867706
13571,5.964416278026906,0.00019410003414150213
13581,5.9647448947368416,0.0005033919138901611
13582,5.964877560240963,0.0004675068620325962
13583,5.964645695652174,0.0002929315333068886
13584,5.964632854406131,0.00027712275090425813
13585,5.964797068403909,0.0003385901176108499
13586,5.964821972477065,0.00026719788344269427
13587,5.964779412844036,0.000268205543263699
13588,5.965149485645933,0.00036135420416943275
13589,5.965023742690058,0.0003338822714103885
13590,5.965234421052632,0.00024744101291299385
13591,5.964975692821368,0.00019422897685459912
13592,5.965522057272042,0.00012332217443967596
13593,5.965065835777126,0.00044120385712202135
13596,5.964608233995585,0.00029781203312125905
13597,5.9645119364161845,0.0002700338282681402
13608,5.964637220956719,0.00042997082190295006
13609,5.96470808988764,0.0004253066630892799
13610,5.964676945812808,0.00041713902945637025
13612,5.964550668316831,0.0002302728964400581
13613,5.96464663507109,0.00034406685328200904
13614,5.964779626865672,0.00044835104183686345
13615,5.964646970227671,0.0003653387240944618
13616,5.964635746691872,0.0003102526159657908
13617,5.96461088,0.0002030163956774657
13618,5.964677907444668,0.000205528546318231
13619,5.965455263157894,0.0002583429383396239
13620,5.964968444790046,0.0003941749631080125
