runnum,totcharge(C)
13453,0.0129936
13454,0.00720362
13455,0.00602724
13468,0.0187287
13470,0.0177337
13472,0.0180134
13473,0.0153094
13474,0.0172702
13475,0.0130611
13476,0.0144111
13477,0.01402
13478,0.016932
13479,0.023661
13491,0.0145637
13492,0.0224178
13493,0.0229619
13494,0.0207908
13495,0.0207388
13496,0.0222477
13497,0.00874004
13502,0.0187394
13503,0.019539
13504,0.0196494
13505,0.0203213
13544,0.0185654
13545,0.0185414
13546,0.0186643
13547,0.0186687
13548,0.0203038
13549,0.0258088
13550,0.0145543
13551,0.00135941
13552,0.00819816
13554,0.00450273
13556,0.015489
13557,0.00949024
13558,0.0154759
13559,0.0149266
13560,0.0150673
13561,0.0156886
13562,0.0147391
13563,0.0151036
13564,0.0152117
13565,0.0144923
13566,0.0192713
13567,0.0164282
13568,0.016087
13569,0.0160593
13570,0.015272
13571,0.0156484
13581,0.0105143
13582,0.0182867
13583,0.0184525
13584,0.018542
13585,0.0196272
13586,0.00736861
13587,0.0191965
13588,0.0189745
13589,0.0187461
13590,0.00224019
13591,0.0210237
13592,0.00101527
13593,0.00736507
13596,0.0158561
13597,0.012419
13608,0.0153782
13609,0.0150801
13610,0.0153057
13612,0.0188852
13613,0.0161684
13614,0.00424375
13615,0.0202006
13616,0.0196534
13617,0.020033
13618,0.0200305
13619,0.00167564
13620,0.0181309
