runnum,totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
12697,0.0356329,0.926846,0.922524
12699,0.0303305,0.927727,0.921301
12700,0.0236671,0.9478,0.944561
12701,0.0380343,0.948825,0.944097
12702,0.0375477,0.950214,0.94475
12706,0.0446275,0.950598,0.944934
12707,0.0467742,0.95186,0.946745
12708,0.0452781,0.95095,0.946358
12709,0.0444928,0.950513,0.945786
12710,0.0453735,0.950886,0.946313
12711,0.046035,0.951237,0.947565
12713,0.00145678,0.954721,0.947984
12714,0.0472139,0.949217,0.944582
12715,0.0472666,0.951484,0.946483
12721,0.0496942,0.949387,0.94516
12722,0.0418324,0.948256,0.943702
12726,0.0348747,0.957965,0.951495
12728,0.0322573,0.957544,0.950439
12729,0.0505914,0.957266,0.950317
12732,0.048187,0.952546,0.947718
12733,0.0252694,0.951749,0.946473
12734,0.0228194,0.951207,0.946948
12735,0.0467564,0.95111,0.945439
12737,0.00477164,0.950236,0.943512
12738,0.0435297,0.947998,0.941938
12739,0.000752784,0.956695,0.951226
12740,0.0305349,0.947682,0.941823
12742,0.0279123,0.946556,0.940579
12743,0.0228397,0.948855,0.943348
12767,0.034853,0.950086,0.945247
12768,0.0175644,0.950358,0.945801
12769,0.0321345,0.947438,0.942329
12770,0.0658545,0.947665,0.942572
12771,0.0658053,0.947452,0.942032
12772,0.0703641,0.947702,0.942157
12773,0.041975,0.947833,0.942643
12778,0.0637096,0.946777,0.942146
12779,0.0385107,0.947468,0.943322
12781,0.0399121,0.947089,0.94244
12782,0.0245601,0.946814,0.942006
12796,0.00303239,0.964549,0.960398
12797,0.0333821,0.947899,0.943781
12798,0.0319386,0.947902,0.943735
12799,0.0344482,0.948394,0.943133
12801,0.0441466,0.948362,0.943933
12802,0.0399898,0.947746,0.943912
12813,0.0585459,0.948596,0.944052
12814,0.0445872,0.94756,0.942175
12815,0.0458632,0.946821,0.942247
12816,0.0451735,0.948543,0.943977
12817,0.0473818,0.947962,0.943424
12819,0.0451731,0.948047,0.943866
12820,0.0667768,0.948263,0.943174
12824,0.0439079,0.948637,0.944104
12825,0.0444574,0.952094,0.947312
12826,0.0456494,0.948423,0.943433
12827,0.0447899,0.947425,0.943351
12828,0.0458212,0.949079,0.944026
12829,0.0448648,0.953222,0.948548
12830,0.0299331,0.951802,0.946321
12894,0.0461564,0.961968,0.959117
12896,0.0387931,0.958018,0.955743
12897,0.0287766,0.96034,0.957434
12902,0.0181434,0.963895,0.961659
12903,0.00187624,0.968714,0.966307
12904,0.0365614,0.961264,0.958677
12906,0.0392034,0.960918,0.958178
12907,0.0488007,0.961563,0.958999
12908,0.0403735,0.961912,0.958898
12909,0.0489636,0.961214,0.958795
12911,0.00416045,0.965199,0.962789
12912,0.0378917,0.961416,0.958356
12913,0.00452048,0.957101,0.954967
12914,0.0149766,0.960238,0.956956
12915,0.0281131,0.959731,0.957212
12916,0.0376072,0.9598,0.957156
12917,0.0377691,0.960661,0.958021
12918,0.0383568,0.959853,0.95696
12919,0.0376852,0.959843,0.957251
12920,0.0406573,0.960107,0.957468
12921,0.013516,0.960096,0.957466
12932,0.0401667,0.962051,0.959457
12933,0.036749,0.962628,0.96004
12934,0.0195017,0.950113,0.947551
12935,0.0407854,0.962432,0.959899
12936,0.0377189,0.963839,0.96129
12939,0.0446115,0.963599,0.961073
12940,0.0397636,0.964407,0.961869
12946,0.0149988,0.963911,0.961404
12957,0.0359213,0.963793,0.961289
12961,0.0388341,0.963979,0.961492
12962,0.0193925,0.965013,0.962537
12963,0.0140531,0.96333,0.960803
12965,0.0505289,0.968988,0.966526
12968,0.0395007,0.96829,0.965823
12969,0.0430789,0.968811,0.966343
12970,0.0420064,0.972337,0.969835
12971,0.0441512,0.976064,0.973632
12972,0.0353741,0.975731,0.973238
12975,0.0192802,0.975845,0.973367
12976,0.024976,0.976079,0.973663
12977,0.0116019,0.975437,0.972935
12979,0.00637626,0.974621,0.972132
12980,0.0100216,0.974673,0.972215
12982,0.0482115,0.980193,0.977495
12983,0.0479247,0.979436,0.976837
12984,0.00932266,0.979987,0.977529
12986,0.0490543,0.981015,0.978532
12987,0.0493038,0.979779,0.977267
12988,0.0497797,0.976656,0.974134
12989,0.013439,0.980908,0.978394
13000,0.0420172,0.973921,0.971362
13029,0.0428072,0.974534,0.972116
13030,0.045528,0.974132,0.971761
13034,0.0435832,0.974277,0.971868
13035,0.0336411,0.974666,0.972237
13036,0.0163112,0.974968,0.972507
13038,0.0627802,0.976121,0.973625
13039,0.0497984,0.975615,0.973174
13040,0.0528696,0.976385,0.973925
13044,0.0436298,0.976658,0.973817
13045,0.041113,0.976649,0.974346
13048,0.00102802,0.975615,0.97284
13049,0.0423277,0.974011,0.971078
13050,0.0416158,0.971746,0.969337
13051,0.0404009,0.970494,0.96741
13052,0.0309938,0.969343,0.966828
13053,0.0207277,0.970919,0.967993
13054,0.0410317,0.970169,0.967331
13055,0.0306249,0.973803,0.971202
13058,0.0436778,0.975222,0.972819
13059,0.0369446,0.976015,0.972785
13060,0.0441717,0.975747,0.973199
13061,0.0446735,0.97628,0.973333
13062,0.0462391,0.975501,0.97262
13063,0.0486673,0.975714,0.973176
