runnum,totcharge(C),daqlvtm
13305,0.0233874,0.968744
13306,0.028247,0.964934
13307,0.0281883,0.962075
13308,0.0299594,0.960739
13309,0.0280194,0.958526
13314,0.0273605,0.952218
13315,0.00857957,0.950719
13316,0.00291916,0.958326
13317,0.0311946,0.949409
13318,0.0324308,0.944567
13319,0.0278241,0.94394
13322,0.0259413,0.954887
13323,0.0287459,0.95499
13324,0.0244182,0.95418
13325,0.0274813,0.955827
13342,0.0109945,0.958579
13344,0.0167084,0.955462
13353,0.0127035,0.845585
13357,0.0411826,0.962205
13358,0.0374948,0.961547
13359,0.0369504,0.96263
13360,0.0446254,0.963303
13361,0.0442051,0.964481
13362,0.03385,0.964961
13363,0.038716,0.966229
13364,0.0384291,0.964306
13368,0.0322539,0.958071
13369,0.0382812,0.956964
13370,0.0320141,0.955875
13371,0.0160376,0.955728
13372,0.0363842,0.962148
13373,0.027633,0.961065
13381,0.0371581,0.969251
13382,0.0370806,0.969527
13384,0.0369961,0.968991
13385,0.0394705,0.96907
13387,0.0373004,0.966875
13388,0.0379763,0.966041
13389,0.0181057,0.96587
13390,0.00775722,0.964632
13391,0.0431108,0.96455
13392,0.00995498,0.965065
13393,0.0352998,0.964118
13394,0.0163465,0.963628
13395,0.00932977,0.966938
13398,0.0372927,0.964009
13399,0.00663063,0.96412
13400,0.0368513,0.964546
13402,0.0365041,0.965058
13403,0.0294742,0.964562
13406,0.0401949,0.964946
13407,0.0507153,0.965222
