runnum,totcharge(C),daqlvtm
13660,0.00254258,0.980073
13661,0.0193945,0.975634
13662,0.0183652,0.963415
13664,0.0150998,0.962759
13665,0.0092472,0.963001
13666,0.0120509,0.96204
13677,0.0309116,0.96004
13678,0.026066,0.961564
13679,0.0305753,0.9572
13680,0.0300274,0.957549
13681,0.0352728,0.957222
13682,0.00211999,0.966076
13684,0.0371281,0.954858
13685,0.036081,0.957896
13686,0.0615844,0.954105
13687,0.0617675,0.94232
13688,0.0311507,0.946541
13689,0.00493796,0.954612
13694,0.0615296,0.956647
13695,0.0173658,0.955924
13698,0.00190175,0.949137
13699,0.0199993,0.956664
13700,0.0149371,0.954208
13710,0.00832891,0.948797
13711,0.00522394,0.94984
13712,0.0763974,0.950819
13714,0.0749529,0.941177
13715,0.0742229,0.952467
13716,0.0735536,0.93533
13717,0.0187537,0.935831
13721,0.0435925,0.93821
13723,0.0850759,0.952699
13724,0.0145017,0.955501
13727,0.0737204,0.942794
13728,0.0738623,0.94228
13729,0.0762218,0.957585
13731,0.0756742,0.958593
13732,0.0809645,0.962162
13734,0.0725146,0.965353
13736,0.0769201,0.965562
13737,0.0237798,0.963651
13746,0.0546688,0.961179
13748,0.0776923,0.956155
13749,0.0525515,0.95868
13753,0.0540108,0.961727
13754,0.00356059,0.958921
13755,0.0442855,0.953661
13756,0.00147932,0.966261
13757,0.00147072,0.962893
13758,0.00146646,0.961506
13760,0.00144441,0.970746
13761,0.00146737,0.966356
13764,0.0379567,0.958699
13765,0.0397089,0.96196
13766,0.0400685,0.967173
13767,0.0340459,0.960009
13770,0.0406726,0.955043
13771,0.00980597,0.951159
13773,0.0390088,0.953175
13775,0.0144313,0.95753
13776,0.0565864,0.950205
13777,0.0388474,0.963659
13778,0.0791555,0.950007
13779,0.0785586,0.949881
13793,0.0240071,0.951107
13797,0.045499,0.952953
13798,0.0383296,0.963687
13799,0.035655,0.956677
