runnum,totcharge(C),daqlvtm
13453,0.0129936,0.921921
13454,0.00720362,0.919558
13455,0.00604277,0.96674
13468,0.0187287,0.966449
13470,0.0177337,0.966539
13472,0.0180134,0.965537
13473,0.0153094,0.966828
13474,0.0172702,0.966172
13475,0.0130611,0.965473
13476,0.0144111,0.96441
13477,0.01402,0.965608
13478,0.016932,0.964989
13479,0.023661,0.963468
13491,0.0145637,0.974694
13492,0.0224178,0.975821
13493,0.0229619,0.9756
13494,0.0216163,0.975944
13495,0.0215007,0.976204
13496,0.0222477,0.976222
13497,0.00874004,0.974872
13502,0.0196067,0.968533
13503,0.019539,0.96673
13504,0.0198476,0.966605
13505,0.0203213,0.96584
13544,0.0188718,0.963768
13545,0.0188299,0.96641
13546,0.0190564,0.96641
13547,0.0192339,0.96683
13548,0.0203038,0.966829
13549,0.0258088,0.966944
13550,0.0147212,0.966371
13551,0.00135941,0.966789
13552,0.00895693,0.968321
13554,0.00450273,0.969933
13556,0.015489,0.971121
13557,0.00949024,0.970133
13558,0.0157081,0.967912
13559,0.0149266,0.968084
13560,0.0150673,0.967758
13561,0.0156886,0.967589
13562,0.0147391,0.968383
13563,0.0151036,0.968735
13564,0.0158743,0.969723
13565,0.0144923,0.970903
13566,0.0193801,0.968836
13567,0.0164282,0.968764
13568,0.016087,0.968531
13569,0.0160593,0.969204
13570,0.01567,0.969671
13571,0.0160157,0.969291
13581,0.0105143,0.968317
13582,0.0182867,0.968891
13583,0.0184525,0.967726
13584,0.018542,0.967956
13585,0.0196272,0.969353
13586,0.00736861,0.971659
13587,0.0191965,0.966909
13588,0.0189745,0.972576
13589,0.0187461,0.970594
13590,0.00224019,0.969578
13591,0.0210237,0.97692
13592,0.00101527,0.987308
13593,0.00736507,0.97639
13596,0.0158561,0.977508
13597,0.012419,0.976856
13608,0.0153782,0.967901
13609,0.0150801,0.967059
13610,0.0153057,0.967769
13612,0.0188852,0.968429
13613,0.0161684,0.968291
13614,0.00424375,0.946631
13615,0.0202006,0.969921
13616,0.0196534,0.969118
13617,0.020033,0.96899
13618,0.0200305,0.968932
13619,0.00167564,0.966981
13620,0.0181309,0.970719
