sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge_bob(C),totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
7,12045,LD2,1785,750,7.930592339310344,0.0004030941317237,0.00606145,0.0054707,0.987203,0.98961
7,12046,LD2,1785,750,7.930381066995073,0.0004376311382029,0.00576199,0.00521427,0.99051,0.990583
7,12047,LD2,1785,750,7.930880145960589,0.0003806008844094,0.00777126,0.00699298,0.988883,0.990369
7,12048,LD2,1785,750,7.930782041953124,0.0004128957772019,0.00428328,0.00384835,0.988594,0.991586
7,12050,LD2,1785,750,7.930535886735751,0.0004149097265557,0.0371329,0.0335022,0.990088,0.990335
7,12051,LD2,1785,750,7.930668181921182,0.0002525663348327,0.0269409,0.0242493,0.988399,0.98892
7,12055,LD2,1785,750,7.930260554166666,0.0002381922601148,0.0238289,0.0214874,0.953623,0.953829
7,12056,LD2,1785,750,7.930811022955663,0.0005112947621976,0.0207767,0.0186954,0.954322,0.954928
7,12057,LD2,1785,750,7.930813839261083,0.0005233809557308,0.023943,0.0215622,0.954996,0.955501
7,12059,LD2,1785,750,7.930859097783251,0.000444947913678,0.0179024,0.0161023,0.955895,0.955954
7,12060,LD2,1785,750,7.930650789999999,0.000572644050578,0.00960883,0.00869104,0.955877,0.956325
7,12062,LD2,1785,750,7.931079823249999,0.0003628682558066,0.0219752,0.0197624,0.954832,0.95546
7,12063,LD2,1785,750,7.930977827290639,0.0004992977369826,0.0184867,0.0166414,0.955626,0.955688
7,12065,LD2,1785,750,7.930936202499999,0.0005577819677424,0.0226564,0.0203831,0.954915,0.954974
7,12066,LD2,1785,750,7.930732808719211,0.0006312519128624,-99.0,0.00416998,0.919763,0.919859
7,12068,LD2,1785,750,7.931267193679999,0.0002103737170186,0.0175158,0.0157438,0.987476,0.988267
7,12069,LD2,1785,750,7.93114409029197,0.0006017277439892,-99.0,0.00429183,0.907168,0.909964
7,12070,LD2,1785,750,7.931074088617884,0.0004889669636874,-99.0,0.00391913,0.983747,0.986788
7,12071,LD2,1785,750,7.931032028817734,0.0005198527456761,0.013201,0.0118818,0.988961,0.989977
7,12073,LD2,1785,750,7.931036623842363,0.0005241567816186,0.0101138,0.00910812,0.988781,0.989891
11,12314,LD2,2100,750,9.88870426393899,0.0003162078047177,0.0490714,0.0440307,0.434349,0.434355
11,12315,LD2,2100,750,9.888707548625304,0.0003933323182735,0.0648928,0.0452146,0.9108,0.910804
11,12316,LD2,2100,750,9.88889035103448,0.0003163301239384,0.0107998,0.00898726,0.910463,0.910469
11,12318,LD2,2100,750,9.88921937818701,0.0001078516784785,0.0180491,0.0164236,0.93092,0.930925
11,12319,LD2,2100,750,9.8892787175,0.0004416286767445,0.0159649,0.0143198,0.914444,0.914449
11,12321,LD2,2100,750,9.889070303440858,0.0003490474656101,0.00574362,0.00515549,0.902837,0.90284
11,12322,LD2,2100,750,9.889136407192115,0.0003470164127304,0.0276986,0.0244069,0.910299,0.910305
11,12323,LD2,2100,750,9.889332633614458,0.0003368766186263,0.00455063,0.00408657,0.908146,0.908153
11,12333,LD2,2100,750,9.888885786517132,0.0002253132379638,0.097357,0.0873899,0.915099,0.915104
11,12337,LD2,2100,750,9.888971431404336,0.0003070718342661,0.0668134,0.0599664,0.921136,0.921142
11,12338,LD2,2100,750,9.889103086358972,0.0001818421082333,0.0212531,0.0190712,0.92144,0.921445
11,12339,LD2,2100,750,9.88912923165488,0.0002791566812783,0.0399127,0.0358327,0.930812,0.930817
11,12341,LD2,2100,750,9.889151923838028,0.0005444361485241,0.00600739,0.0054298,0.991964,0.991966
11,12342,LD2,2100,750,9.889125745559843,0.0001774123843921,0.0160655,0.0144721,0.992107,0.992108
11,12343,LD2,2100,750,9.889221085807126,0.0002739550887332,0.0133701,0.0120503,0.992399,0.9924
11,12344,LD2,2100,750,9.889260338967214,0.000189868215277,0.0177846,0.0160235,0.992643,0.992645
11,12346,LD2,2100,750,9.889342796089158,0.000213077673549,0.0641425,0.0519779,0.946178,0.946183
11,12347,LD2,2100,750,9.88926974583461,0.000150387958746,0.0113676,0.010298,0.946062,0.946067
11,12348,LD2,2100,750,9.889219186385676,0.0002393911714729,0.053818,0.0437415,0.942552,0.942556
11,12349,LD2,2100,750,9.88921424763975,0.0001536098308963,0.00958061,0.00859545,0.940351,0.940354
11,12356,LD2,2100,750,9.888937963580355,0.0002914242497057,0.0595786,0.0535093,0.94859,0.948594
11,12357,LD2,2100,750,9.889217091325966,0.0001926453260279,0.00831966,0.00747054,0.949927,0.949932
11,12359,LD2,2100,750,9.889236618284883,0.0002118616262135,0.0642961,0.0577069,0.945118,0.945122
11,12360,LD2,2100,750,9.889193708026433,0.0002739217939111,0.0645636,0.0579585,0.944632,0.944636
11,12362,LD2,2100,750,9.889131824050631,0.0002427642523785,0.0663488,0.0595693,0.942575,0.94258
11,12364,LD2,2100,750,9.889067126057109,0.0001850515219895,0.124916,0.103423,0.942706,0.942711
11,12366,LD2,2100,750,9.889148113420074,0.000265337061487,0.0153345,0.0137682,0.943935,0.943941
11,12371,LD2,2100,750,9.889217748613138,4.572225621633755e-05,0.00312969,0.00282669,0.948835,0.948841
11,12372,LD2,2100,750,9.889077885918368,0.0002213774040164,0.0312005,0.0228393,0.946822,0.946828
11,12373,LD2,2100,750,9.889086544716006,0.000188303060389,0.0369859,0.0331945,0.944786,0.944791
11,12374,LD2,2100,750,9.889094026666664,0.0001426659031881,0.0329633,0.0295728,0.945544,0.945549
11,12375,LD2,2100,750,9.889095651893491,0.0001406225908908,0.032809,0.0294369,0.942918,0.942922
11,12376,LD2,2100,750,9.889140496297786,0.0001680282745758,0.0326195,0.0292659,0.940078,0.940082
11,12377,LD2,2100,750,9.889193513194709,0.0001403098269697,0.0330529,0.0296602,0.945776,0.945781
11,12378,LD2,2100,750,9.889233407777777,0.0001340146974126,0.032611,0.0292717,0.945555,0.945559
11,12379,LD2,2100,750,9.889177699335391,0.0001598300763023,0.0365022,0.0327676,0.947485,0.94749
11,12383,LD2,2100,750,9.888956323669872,0.0002001343996589,0.0347768,0.0312159,0.969734,0.96974
11,12384,LD2,2100,750,9.88883204321495,0.000199197177512,0.0338057,0.0303347,0.967464,0.967468
11,12385,LD2,2100,750,9.88885407875,0.0001779924845824,0.0102349,0.00469844,0.970375,0.970382
11,12387,LD2,2100,750,9.889125595337518,0.0002127724883344,0.0352615,0.0316486,0.967736,0.96774
11,12388,LD2,2100,750,9.88917136224652,0.0001975591619629,0.0338057,0.030321,0.967461,0.967465
11,12394,LD2,2100,750,9.88915165660138,0.0002134153467427,0.0386903,0.0347764,0.969024,0.969029
11,12395,LD2,2100,750,9.889044702956763,0.0002045098290871,0.0455014,0.0408374,0.969292,0.969297
11,12396,LD2,2100,750,9.88907959652733,0.0001388238054223,0.036681,0.0329264,0.969327,0.969333
11,12403,LD2,2100,750,9.88868056655532,0.0002816508794712,0.0288099,0.0258613,0.964949,0.964953
11,12404,LD2,2100,750,9.88875899772234,0.0002533121183085,0.0267299,0.0239907,0.966439,0.966444
11,12405,LD2,2100,750,9.88880137552783,0.0002384020625566,0.0327323,0.0293785,0.957444,0.95745
11,12406,LD2,2100,750,9.888859689610191,0.0002918302640408,0.0335561,0.0301303,0.965469,0.965474
11,12407,LD2,2100,750,9.888643877348242,0.0002638856471219,0.0253288,0.0168077,0.961394,0.9614
11,12408,LD2,2100,750,9.888643953705971,0.000281085800236,0.0422805,0.0379414,0.945761,0.945766
11,12409,LD2,2100,750,9.88867221231884,0.0003051500508925,0.0167307,0.0150185,0.94877,0.948775
11,12410,LD2,2100,750,9.88910380967071,0.0001219858118356,0.034962,0.0313716,0.953406,0.953412
11,12411,LD2,2100,750,9.88922862904,6.06472730299625e-05,0.00537972,0.00486168,0.946979,0.946985
11,12412,LD2,2100,750,9.889101661197769,0.000168787897202,0.0200296,0.0179854,0.960445,0.960448
11,12416,LD2,2100,750,9.88903838,9.26305480345152e-05,0.00326573,0.0029208,0.963575,0.963586
11,12423,LD2,2100,750,9.88890990481818,0.0002604238262469,0.00989198,0.00897945,0.996893,0.996894
11,12424,LD2,2100,750,9.888757745392487,0.0002108751091481,0.00948454,0.00853978,0.992224,0.992226
11,12425,LD2,2100,750,9.888775012188612,0.0002273917229125,0.0167702,0.0151059,0.992593,0.992595
11,12473,LD2,2100,750,9.888953088260072,0.0003373641891576,0.0175244,0.0157721,0.971261,0.971378
11,12474,LD2,2100,750,9.888927752305936,0.0002072891642849,0.0476727,0.0428121,0.967726,0.967845
