sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge_bob(C),totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
11,12491,LH2,2100,750,9.888939226285714,0.0003329752583284,0.00601982,0.00539796,0.975967,0.976053
11,12496,LH2,2100,750,9.888655372344823,0.0002349156645478,0.0530222,0.047507,0.977042,0.977138
11,12497,LH2,2100,750,9.888596560640112,0.0002682705529522,0.083085,0.0744233,0.977238,0.977336
11,12524,LH2,2100,750,9.88906176176344,0.0002165504831033,0.0407642,0.0365397,0.935261,0.935353
11,12525,LH2,2100,750,9.88902609673956,0.0002050724411321,0.0632397,0.0566498,0.934144,0.934236
11,12526,LH2,2100,750,9.889038827019498,0.0002540838456848,0.0434989,0.0389738,0.872987,0.873065
11,12548,LH2,2100,750,9.889087580146558,0.0001618853921933,0.0700446,0.0628051,0.990599,0.990651
11,12561,LH2,2100,750,9.888864862184178,0.0002303019970357,-99.0,0.0693543,0.991434,0.991477
11,12563,LH2,2100,750,9.888793521836476,0.0001982354163889,-99.0,0.0688644,0.991301,0.991349
11,12575,LH2,2100,750,9.888584222969282,0.0002472308332715,0.083971,0.075274,0.991683,0.991728
11,12576,LH2,2100,750,9.888598954210526,0.0002769394670071,0.0701273,0.0530236,0.991431,0.991479
11,12587,LH2,2100,750,9.88861767653514,0.0003494529776876,-99.0,0.0644463,0.991347,0.991394
11,12588,LH2,2100,750,9.88863217124533,0.0003120275524461,-99.0,0.0673718,0.991556,0.991602
11,12625,LH2,2100,750,9.88846714138381,0.0002682407920112,0.0390168,0.0349493,0.991829,0.991873
11,12626,LH2,2100,750,9.888951074668508,0.000451205044357,0.0323994,0.0291036,0.99177,0.991818
11,12657,LH2,2100,750,9.888882760692308,0.0002096119675095,0.0467139,0.0418818,0.991321,0.987484
11,12658,LH2,2100,750,9.88888927292887,0.0001746053399815,0.0230569,0.0206506,0.992023,0.988443
11,12675,LH2,2100,750,9.888604490863784,0.0003353520599842,0.0324491,0.0290791,0.987599,0.98252
11,12676,LH2,2100,750,9.888460931185566,0.0002920428423012,0.037443,0.033554,0.991844,0.988805
