sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A)
11,12627,LD2,2100,750
11,12628,LD2,2100,750
11,12638,LD2,2100,750
11,12639,LD2,2100,750
11,12641,LD2,2100,750
11,12642,LD2,2100,750
11,12643,LD2,2100,750
11,12644,LD2,2100,750
11,12645,LD2,2100,750
11,12647,LD2,2100,750
11,12653,LD2,2100,750
11,12654,LD2,2100,750
11,12655,LD2,2100,750
11,12656,LD2,2100,750
11,12659,LD2,2100,750
11,12660,LD2,2100,750
11,12661,LD2,2100,750
11,12662,LD2,2100,750
11,12664,LD2,2100,750
11,12666,LD2,2100,750
11,12671,LD2,2100,750
11,12673,LD2,2100,750
11,12674,LD2,2100,750
11,12678,LD2,2100,750
11,12679,LD2,2100,750
11,12680,LD2,2100,750
11,12681,LD2,2100,750
11,12682,LD2,2100,750
11,12683,LD2,2100,750
11,12684,LD2,2100,750
11,12686,LD2,2100,750
11,12687,LD2,2100,750
11,12688,LD2,2100,750
11,12693,LD2,2100,750
11,12694,LD2,2100,750
11,12695,LD2,2100,750
11,12697,LD2,2100,750
11,12699,LD2,2100,750
11,12700,LD2,2100,750
11,12701,LD2,2100,750
11,12702,LD2,2100,750
11,12706,LD2,2100,750
11,12707,LD2,2100,750
11,12708,LD2,2100,750
11,12709,LD2,2100,750
11,12710,LD2,2100,750
11,12711,LD2,2100,750
11,12713,LD2,2100,750
11,12714,LD2,2100,750
11,12715,LD2,2100,750
11,12721,LD2,2100,750
11,12722,LD2,2100,750
11,12726,LD2,0,750
11,12728,LD2,0,750
11,12729,LD2,0,750
11,12732,LD2,2100,750
11,12733,LD2,2100,750
11,12734,LD2,2100,750
11,12735,LD2,2100,750
11,12737,LD2,2100,750
11,12738,LD2,2100,750
11,12739,LD2,2100,750
11,12740,LD2,2100,750
11,12742,LD2,2100,750
11,12743,LD2,2100,750
11,12767,LD2,2100,750
11,12768,LD2,2100,750
11,12769,LD2,2100,750
11,12770,LD2,2100,750
11,12771,LD2,2100,750
11,12772,LD2,2100,750
11,12773,LD2,2100,750
11,12778,LD2,2100,750
11,12779,LD2,2100,750
11,12781,LD2,2100,750
11,12782,LD2,2100,750
11,12796,LD2,2100,750
11,12797,LD2,2100,750
11,12798,LD2,2100,750
11,12799,LD2,2100,750
11,12801,LD2,2100,750
11,12802,LD2,2100,750
11,12813,LD2,2100,750
11,12814,LD2,2100,750
11,12815,LD2,2100,750
11,12816,LD2,2100,750
11,12817,LD2,2100,750
11,12819,LD2,2100,750
11,12820,LD2,2100,750
11,12824,LD2,2100,750
11,12825,LD2,2100,750
11,12826,LD2,2100,750
11,12827,LD2,2100,750
11,12828,LD2,2100,750
11,12829,LD2,2100,750
11,12830,LD2,2100,750
11,12894,LD2,2100,750
11,12896,LD2,2100,750
11,12897,LD2,2100,750
11,12902,LD2,2100,750
11,12903,LD2,2100,750
11,12904,LD2,2100,750
11,12906,LD2,2100,750
11,12907,LD2,2100,750
11,12908,LD2,2100,750
11,12909,LD2,2100,750
11,12911,LD2,2100,750
11,12912,LD2,2100,750
11,12913,LD2,2100,750
11,12914,LD2,2100,750
11,12915,LD2,2100,750
11,12916,LD2,2100,750
11,12917,LD2,2100,750
11,12918,LD2,2100,750
11,12919,LD2,2100,750
11,12920,LD2,2100,750
11,12921,LD2,2100,750
11,12932,LD2,2100,750
11,12933,LD2,2100,750
11,12934,LD2,2100,750
11,12935,LD2,2100,750
11,12936,LD2,2100,750
11,12939,LD2,2100,750
11,12940,LD2,2100,750
11,12946,LD2,2100,750
11,12957,LD2,2100,750
11,12961,LD2,2100,750
11,12962,LD2,2100,750
11,12963,LD2,2100,750
11,12965,LD2,2100,750
11,12968,LD2,2100,750
11,12969,LD2,2100,750
11,12970,LD2,2100,750
11,12971,LD2,2100,750
11,12972,LD2,2100,750
11,12975,LD2,2100,750
11,12976,LD2,2100,750
11,12977,LD2,2100,750
11,12979,LD2,2100,750
11,12980,LD2,2100,750
11,12982,LD2,2100,750
11,12983,LD2,2100,750
11,12984,LD2,2100,750
11,12986,LD2,2100,750
11,12987,LD2,2100,750
11,12988,LD2,2100,750
11,12989,LD2,2100,750
11,13000,LD2,2100,750
11,13029,LD2,2100,750
11,13030,LD2,2100,750
11,13034,LD2,2100,750
11,13035,LD2,2100,750
11,13036,LD2,2100,750
11,13038,LD2,2100,750
11,13039,LD2,2100,750
11,13040,LD2,2100,750
11,13044,LD2,2100,750
11,13045,LD2,2100,750
11,13048,LD2,2100,750
11,13049,LD2,2100,750
11,13050,LD2,2100,750
11,13051,LD2,2100,750
11,13052,LD2,2100,750
11,13053,LD2,2100,750
11,13054,LD2,2100,750
11,13055,LD2,2100,750
11,13058,LD2,2100,750
11,13059,LD2,2100,750
11,13060,LD2,2100,750
11,13061,LD2,2100,750
11,13062,LD2,2100,750
11,13063,LD2,2100,750
14,13305,LD2,1470,750
14,13306,LD2,1470,750
14,13307,LD2,1470,750
14,13308,LD2,1470,750
14,13309,LD2,1470,750
14,13314,LD2,1470,750
14,13315,LD2,1470,750
14,13316,LD2,1470,750
14,13317,LD2,1470,750
14,13318,LD2,1470,750
14,13319,LD2,1470,750
