runnum,ebeam_mean,ebeam_std
12314,9.859126883289125,0.0003152620186618551
12315,9.859130158150851,0.00039215585072141214
12316,9.859312413793104,0.0003153839720224944
12318,9.85964045681656,0.0001075290912049397
12319,9.859699618644068,0.0004403077534841142
12321,9.859491827956989,0.000348003455244406
12322,9.859557733990147,0.0003459784772986462
12323,9.859753373493975,0.00033586901159162233
12333,9.859307862928349,0.0002246393200038566
12337,9.859393251649388,0.00030615337414371317
12338,9.859524512820512,0.0001812982135926733
12339,9.859550579915135,0.00027832171613005895
12341,9.859573204225352,0.0005428077253481691
12342,9.859547104247104,0.0001768817391746356
12343,9.859642159329141,0.0002731356816882125
12344,9.859681295081968,0.0001893003143340801
12346,9.859763505572442,0.00021244035249164353
12347,9.859690673813171,0.0001499381443131065
12348,9.859640265588913,0.0002386751460348491
12349,9.859635341614906,0.0001531503797571482
12356,9.85935988392857,0.0002905525919300975
12357,9.85963817679558,0.000192069118671981
12359,9.859657645348838,0.00021122794238642565
12360,9.859614863436123,0.0002731024864518395
12362,9.859553164556962,0.00024203813796473843
12364,9.859488660076881,0.00018449802790585705
12366,9.85956940520446,0.00026454343119350766
12371,9.859638832116788,4.5585499717186e-05
12372,9.859499387755102,0.00022071525824177604
12373,9.859508020654046,0.00018773984086655762
12374,9.859515480225989,0.000142239185631372
12375,9.859517100591717,0.0001402019849360628
12376,9.859561810865191,0.00016752569748342322
12377,9.859614669187147,0.00013989015650020965
12378,9.859654444444445,0.00013361385584518558
12379,9.859598902627512,0.00015935202024168252
12383,9.859378189102564,0.00019953579228214156
12384,9.85925428037383,0.00019860137339191953
12385,9.85927625,0.00017746010426963242
12387,9.859546954474096,0.0002121360800942803
12388,9.859592584493042,0.000196968257191404
12394,9.859572937788018,0.00021277701569574886
12395,9.85946630404463,0.00020389813468312597
12396,9.859501093247587,0.0001384085796833395
12403,9.859103256784968,0.00028080845410895884
12404,9.859181453362256,0.00025255445494371925
12405,9.859223704414589,0.00023768899556992016
12406,9.85928184407796,0.00029095739186530437
12407,9.859066677316294,0.0002630963580478652
12408,9.859066753445635,0.00028024506504098766
12409,9.859094927536232,0.0003042373388759723
12410,9.859525233968805,0.0001216209489887465
12411,9.85964968,6.0465875403751256e-05
12412,9.859523091922005,0.00016828304805794443
12416,9.85946,9.235348757179979e-05
12423,9.859331909090908,0.00025964489157220675
12424,9.859180204778156,0.00021024437602015566
12425,9.859197419928826,0.0002267115881481449
12473,9.859374963369962,0.0003363551237863908
12474,9.859349703196347,0.00020666915681456931
12478,9.859390524534687,0.00021604981140383502
12479,9.859267015706806,0.00022910969697885318
12480,9.859152747474747,0.00019769145096895475
12481,9.859394620938629,0.00025904846224557445
12482,9.859547142857142,0.00015971999308303815
12485,9.859356820702404,0.0003691199032510598
12486,9.859362622641509,0.0003906517614574105
12498,9.859570562913907,0.00029225440781288875
12499,9.85947590389016,0.00014480901661210514
12500,9.85941598130841,0.0001186389783947496
12501,9.85948,0.00028403344873414825
12502,9.859399853479854,0.00014387742612049812
12512,9.85945432330827,0.00015636439400310066
12513,9.859456765799257,0.0001548434211891354
12514,9.859459593345656,0.000160488320424438
12515,9.859458904109589,0.0001867137518700279
12516,9.859535235404897,0.00016156104970548488
12517,9.859399999999999,
12521,9.859485956454122,0.00021357980838416585
12523,9.859390261780105,0.000315759193530566
12527,9.859535482456142,0.0001741900809658613
12532,9.859484481981982,0.00019372539299547439
12534,9.859419112554113,0.00017521685446687178
12535,9.859515337837838,0.00017036310527773275
12536,9.859516143958869,0.00017766683707388375
12537,9.85950585253456,0.00015851894315924356
12538,9.859575742574258,0.0001416145934192986
12539,9.859442611607141,0.00014332145327975763
12541,9.85943127016129,0.0002340676747444685
12542,9.859549139167862,0.00017679572723361024
12543,9.859548451327433,0.00015736133796366694
12544,9.859607335423197,8.692574561553104e-05
12547,9.859543038674033,0.00013972750357151402
12549,9.859387865612648,0.00021364954584292124
12550,9.859360418181819,0.00023838789095589915
12551,9.859275861386138,0.0002375254802423285
12552,9.859243173277662,0.00019112733503142697
12553,9.85929409252669,0.00021166931457346552
12554,9.859342946428571,0.0002125786748720345
12556,9.85889251948052,0.0001710876367160269
12558,9.859040447761194,0.00023826578704368533
12559,9.859083712121212,0.0002151091874123194
12565,9.859123713163065,0.00019349094122060782
12566,9.85904588579795,0.0003929125381060794
12567,9.858758451957296,0.0003454345817558294
12568,9.858746555944055,0.00040035867283943344
12569,9.85896615658363,0.0002374173961634489
12570,9.858896323529411,0.000249414958394859
12571,9.859119163636365,0.00028685627798602867
12572,9.859271821366026,0.00021384166047199745
12574,9.85921670289855,0.00030484770311836314
12577,9.859086962962964,0.0004110512080424212
12580,9.859161638513514,0.00021340329321086748
12581,9.859334824797843,0.0002829145763690083
12582,9.859307961956521,0.00030533965237564614
12583,9.8589968,0.0002797280031102662
12584,9.859169351669943,0.0002158707237955704
12585,9.859125300751879,0.00025344352301703404
12586,9.858973546617914,0.00028982980846805695
12589,9.859084571948998,0.0002654668948792371
12590,9.85935523923445,0.00031336430051177427
12592,9.859421366906474,0.00022380271559500266
12593,9.859386341853035,0.0002987374040020509
12597,9.859294338919925,0.00037835117126413154
12598,9.858891681818182,0.00028675847406421564
12599,9.859406857142858,0.00041144351856242553
12614,9.859260798668886,0.000286706053416032
12618,9.859334,0.0003597061380451671
12619,9.85933268115942,0.0003371218585160294
12620,9.859420620437955,0.00027190367235553425
12623,9.859446458797327,0.000328508770429764
12627,9.859489705882353,0.00022264305665406354
12628,9.859570880503144,0.0002431345505702395
12638,9.859274516129032,0.0003510967737784198
12639,9.859367464788733,0.00018251198246222003
12641,9.859323791666666,0.0002803066437740704
12642,9.859197647058823,0.00023579187131934107
12643,9.859104915254237,0.00028387146328048043
12644,9.85921044117647,0.000384579997981501
12645,9.858908722358724,0.0004212821610010886
12647,9.859204345679013,0.0004257973057168454
12653,9.858595574712643,0.0003527149365434764
12654,9.85866197530864,0.00022917471366352987
12655,9.85895192079208,0.0002681396699527379
12656,9.859134420849422,0.00021009888182649183
12659,9.859235306479858,0.00027380176388171835
12660,9.85924017699115,0.00034325270664500466
12661,9.859033368421052,0.0002840020688290844
12662,9.85926905362776,0.00031271633569198955
12664,9.858967991266375,0.0004818088904748299
12666,9.85894744680851,0.0002949209340740311
12671,9.859237883310719,0.0003078199510016536
12673,9.859208778877887,0.0002337643666667115
12674,9.859144967213114,0.00024661601134362115
12678,9.858924303030303,0.0003679843319882227
12679,9.858908514680484,0.00044377143229845124
12680,9.858831310483872,0.000309813395075514
12681,9.858653953488373,7.90761999857636e-05
12682,9.858727818853975,0.0003298563835854656
12683,9.858615041152262,0.0002985212668408672
12684,9.858442175141244,0.00025177345555133494
12686,9.858509557823128,0.0006029827690937933
12687,9.85803054446461,0.0004975299655848197
12688,9.857772006079028,0.0005707832551443643
12693,9.859369090909091,0.00017719209962391703
12694,9.859421854166667,0.0001757064463993452
12695,9.859418164435946,0.00016674387785413548
12697,9.859402656587474,0.00016601538809798928
12699,9.85954325203252,0.00010513058082476741
12700,9.859636712802768,0.00016569274990244981
12701,9.859615903614458,0.00015370045454091095
12702,9.859545224489796,0.0001794551245585163
12706,9.859557236363637,0.0001410370081052043
12707,9.859621973333333,0.0001362441040803469
12708,9.859620140597539,0.00013846358111807474
12709,9.859620837696335,0.00013841256553125063
12710,9.859622955882353,0.00015868921227340415
12711,9.859604617834394,0.00011562431569892528
12713,9.859516875,0.00011545381471988844
12714,9.859502881646655,0.00012472208854264478
12715,9.859553424657534,0.0001483948389677885
12721,9.859584036061026,0.0002566313694925604
