runnum,evnum,HALLA_p
13453,76675,5964.68
13453,105198,5964.68
13453,133255,5964.64
13453,162008,5964.64
13453,191005,5964.62
13453,219759,5964.62
13453,248640,5964.62
13453,277160,5964.53
13453,306222,5964.53
13453,335064,5964.71
13453,364049,5964.71
13453,392805,5964.67
13453,421934,5964.67
13453,450764,5964.67
13453,479396,5964.59
13453,508187,5964.59
13453,537082,5964.69
13453,566258,5964.69
13453,595235,5964.58
13453,624475,5964.58
13453,653482,5964.61
13453,682803,5964.61
13453,711865,5964.61
13453,741311,5964.58
13453,770528,5964.58
13453,798815,5964.67
13453,8278982,5964.57
13453,8307910,5964.63
13453,8336873,5964.63
13453,8366025,5964.63
13453,8379303,5964.63
13453,8379465,5964.63
13453,8379622,5964.54
13453,8379786,5964.54
13453,8379940,5965.54
13453,8380103,5965.54
13453,8380261,5965.54
13453,8380430,5965.54
13453,8380591,5965.54
13453,8380745,5965.54
13453,8403944,5965.54
13453,8431071,5965.54
13453,8459131,5965.54
13453,8487703,5964.28
13453,8516286,5964.28
13453,8545254,5964.79
13453,8573943,5964.79
13453,8602837,5964.66
13453,8631969,5964.66
13453,8660665,5964.66
13453,8689602,5964.64
13453,8718567,5964.64
13453,8747756,5964.73
13453,8776835,5964.73
13453,8806220,5964.68
13453,8835350,5964.68
13453,8864281,5964.62
13453,8893307,5964.62
13453,8922647,5964.62
13453,8951587,5964.69
13453,8980635,5964.69
13453,9009437,5964.66
13453,9038680,5964.66
13453,9068013,5964.74
13453,9096900,5964.74
13453,827605,5964.67
13453,856155,5964.67
13453,884690,5964.67
13453,913400,5964.67
13453,941650,5964.68
13453,970285,5964.68
13453,998844,5964.64
13453,1027572,5964.64
13453,1055945,5964.64
13453,1084788,5964.64
13453,1113772,5964.74
13453,1142692,5964.74
13453,1171299,5964.74
13453,1200064,5964.7
13453,1228744,5964.7
13453,1257529,5964.7
13453,1285971,5964.7
13453,1314393,5964.69
13453,1343193,5964.69
13453,1371826,5964.69
13453,1400165,5964.62
13453,1428987,5964.62
13453,1457288,5964.73
13453,1485684,5964.73
13453,1514310,5964.65
13453,1543232,5964.65
13453,1571681,5964.62
13453,1600232,5964.62
13453,1628768,5964.62
13453,9126230,5964.67
13453,9155197,5964.67
13453,9184007,5964.67
13453,9213326,5964.73
13453,9242561,5964.73
13453,9271721,5964.71
13453,9301000,5964.71
13453,9329737,5964.63
13453,9358691,5964.63
13453,9388011,5964.69
13453,9417206,5964.69
13453,9446415,5964.69
13453,9475867,5964.6
13453,9505234,5964.6
13453,9534620,5964.63
13453,9563409,5964.63
13453,9592706,5964.64
13453,9622021,5964.64
13453,9651615,5964.64
13453,9680456,5964.64
13453,9709588,5964.64
13453,9738845,5964.58
13453,9768076,5964.58
13453,9797168,5964.57
13453,9826303,5964.57
13453,9855451,5964.64
13453,9884661,5964.64
13453,9913703,5964.64
13453,9942833,5964.69
13453,9971910,5964.69
13453,10001191,5964.67
13453,10030397,5964.67
13453,10059282,5964.63
13453,10088591,5964.63
13453,10117762,5964.56
13453,10146957,5964.56
13453,10176352,5964.56
13453,10205448,5964.68
13453,10234387,5964.68
13453,10263149,5964.61
13453,10292212,5964.61
13453,10321239,5964.51
13453,10350554,5964.51
13453,10379800,5964.51
13453,10409043,5964.58
13453,10437904,5964.58
13453,10467121,5964.63
13453,10496353,5964.63
13453,10525448,5964.6
13453,10554154,5964.6
13453,10582931,5964.61
13453,10612094,5964.61
13453,10641238,5964.61
13453,10670642,5964.59
13453,10699532,5964.59
13453,10728639,5964.7
13453,10757880,5964.7
13453,10787220,5964.61
13453,10816359,5964.61
13453,10845390,5964.63
13453,10874395,5964.63
13453,10903682,5964.63
13453,10932953,5964.62
13453,10962098,5964.62
13453,10991274,5964.62
13453,11020679,5964.62
13453,11049610,5964.63
13453,11078769,5964.63
13453,11107981,5964.63
13453,11137338,5964.61
13453,11166442,5964.61
13453,11195798,5964.55
13453,11224970,5964.55
13453,11254035,5964.66
13453,11282844,5964.66
13453,11311705,5964.66
13453,11340985,5964.74
13453,11370386,5964.74
13453,11399478,5964.48
13453,11428753,5964.48
13453,11457721,5964.61
13453,11486586,5964.61
13453,11515591,5964.53
13453,11544841,5964.53
13453,11573653,5964.53
13453,11602990,5964.56
13453,11632093,5964.56
13453,11660958,5964.66
13453,11690116,5964.66
13453,11719239,5964.47
13453,11748089,5964.47
13453,11777114,5964.47
13453,11806014,5964.73
13453,11834829,5964.73
13453,11863665,5964.64
13453,11892271,5964.64
13453,11921157,5964.57
13453,11950138,5964.57
13453,11979231,5964.57
13453,12008278,5964.67
13453,12037615,5964.67
13453,12066536,5964.62
13453,12095347,5964.62
13453,12124164,5964.57
13453,12153013,5964.57
13453,12182270,5964.61
13453,12211235,5964.61
13453,12240516,5964.61
13453,12269473,5964.53
13453,12298572,5964.53
13453,12327420,5964.65
13453,12356477,5964.65
13453,12385322,5964.66
13453,12414335,5964.66
13453,12443259,5964.6
13453,12472036,5964.6
13453,12500971,5964.6
13453,12530018,5964.62
13453,12545632,5964.62
13453,12545774,5964.58
13453,12545934,5964.58
13453,12546097,5965.54
13453,12546250,5965.54
13453,12546422,5965.54
13453,12546580,5965.54
13453,12546741,5965.54
13453,12546894,5965.54
13453,12552787,5965.54
13453,12578758,5965.54
13453,12606330,5965.54
13453,12634717,5964.13
13453,12663210,5964.13
13453,12691465,5964.13
13453,12719995,5964.31
13453,12748767,5964.31
13453,12777747,5964.21
13453,12806769,5964.21
13453,12835772,5964.71
13453,12864660,5964.71
13453,12893482,5964.58
13453,12922468,5964.58
13453,12951554,5964.58
13453,12980701,5964.6
13453,13009822,5964.6
13453,13038461,5964.61
13453,13067293,5964.61
13453,13096475,5964.62
13453,13125127,5964.62
13453,13154019,5964.62
13453,13183132,5964.76
13453,13212260,5964.76
13453,13241242,5964.58
13453,13270413,5964.58
13453,13299488,5964.55
13453,13328611,5964.55
13453,13357981,5964.64
13453,13386776,5964.64
13453,13416057,5964.64
13453,13445403,5964.61
13453,13474305,5964.61
13453,13503239,5964.49
13453,13532001,5964.49
13453,13561246,5964.58
13453,13590292,5964.58
13453,13619650,5964.58
13453,13648705,5964.55
13453,13677845,5964.55
13453,13706713,5964.68
13453,13735898,5964.68
13453,13765145,5964.67
13453,13794112,5964.67
13453,13823228,5964.64
13453,13852686,5964.64
13453,13881750,5964.64
13453,13910663,5964.59
13453,13939401,5964.59
13453,13968411,5964.58
13453,13997577,5964.58
13453,14026649,5964.66
13453,14055823,5964.66
13453,14084654,5964.66
13453,14113463,5964.63
13453,14142468,5964.63
13453,14171770,5964.57
13453,14200801,5964.57
13453,14230153,5964.6
13453,14259482,5964.6
13453,14288635,5964.57
13453,14317898,5964.57
13453,14347229,5964.57
13453,14375988,5964.64
13453,14404879,5964.64
13453,14433992,5964.63
13453,14463150,5964.63
13453,14492332,5964.47
13453,14521272,5964.47
13453,14550594,5964.47
13453,14579847,5964.6
13453,14608731,5964.6
13453,14637726,5964.58
13453,14667020,5964.58
13453,14696206,5964.55
13453,14725129,5964.55
13453,14754433,5964.56
13453,14784047,5964.56
13453,14813403,5964.56
13453,14842447,5964.72
13453,14871759,5964.72
13453,14900513,5964.58
13453,14929687,5964.58
13453,14958616,5964.53
13453,14987775,5964.53
13453,15016544,5964.53
13453,15045667,5964.68
13453,15074324,5964.68
13453,15103336,5964.69
13453,15132750,5964.69
13453,15161667,5964.55
13453,15190658,5964.55
13453,15219813,5964.61
13453,15249823,5964.61
13453,15258651,5964.61
13453,15258800,5964.57
13453,15258966,5964.57
13453,15259095,5965.54
13453,15259248,5965.54
13453,15259497,5965.54
13453,15259612,5965.54
13453,15259771,5965.54
13453,15259936,5965.54
13453,15260104,5965.54
13453,15260262,5965.54
13453,15260417,5965.54
13453,15260564,5965.54
13453,15260738,5965.54
13453,15260905,5965.54
13453,15261047,5965.54
13453,15261182,5965.54
13453,15261344,5965.54
13453,15261509,5965.54
13453,15261660,5965.54
13453,15261911,5965.54
13453,15261991,5965.54
13453,15262132,5965.54
13453,15262311,5965.54
13453,15262466,5965.54
13453,15262637,5965.54
13453,15262789,5965.54
13453,15262949,5965.54
13453,15263119,5965.54
13453,15263271,5965.54
13453,15263442,5965.54
13453,15263646,5965.54
13453,15263799,5965.54
13453,15263965,5965.54
13453,15264130,5965.54
13453,15264287,5965.54
13453,15264447,5965.54
13453,15264611,5965.54
13453,15264765,5965.54
13453,15264925,5965.54
13453,15275392,5965.54
13453,15299994,5965.54
13453,15326189,5965.54
13453,15353672,5965.54
13453,15381327,5964.94
13453,15409291,5964.94
13453,15437339,5964.53
13453,15465594,5964.53
13453,15494069,5964.64
13453,15522661,5964.64
13453,15551307,5964.64
13453,15580266,5964.59
13453,15608973,5964.59
13453,15637626,5964.53
13453,15666393,5964.53
13453,15695357,5964.54
13453,15724081,5964.54
13453,15752705,5964.56
13453,15781382,5964.56
13453,15810169,5964.56
13453,15838857,5964.5
13453,15867586,5964.5
13453,15896453,5964.58
13453,15925122,5964.58
13453,15944363,5964.57
13453,15944363,5964.57
13453,1657626,5964.62
13453,1686171,5964.62
13453,1714938,5964.65
13453,1743339,5964.65
13453,1771928,5964.68
13453,1800728,5964.68
13453,1829589,5964.72
13453,1858159,5964.72
13453,1886936,5964.72
13453,1916153,5964.59
13453,1944913,5964.59
13453,1973768,5964.62
13453,2002492,5964.62
13453,2031206,5964.65
13453,2059933,5964.65
13453,2088821,5964.65
13453,2117356,5964.64
13453,2146025,5964.64
13453,2174340,5964.7
13453,2203779,5964.7
13453,2232382,5964.68
13453,2261047,5964.68
13453,2289889,5964.64
13453,2318519,5964.64
13453,2347384,5964.64
13453,2376037,5964.65
13453,2404600,5964.65
13453,2433551,5964.71
13453,2462546,5964.71
13453,2490994,5964.7
13453,2519748,5964.7
13453,2548597,5964.65
13453,2577176,5964.65
13453,2605783,5964.65
13453,2634105,5964.64
13453,2662904,5964.64
13453,2691466,5964.6
13453,2720232,5964.6
13453,2723192,5964.61
13453,2723346,5964.61
13453,2723614,5965.54
13453,2723751,5965.54
13453,2723912,5965.54
13453,2724077,5965.54
13453,2724233,5965.54
13453,2724393,5965.54
13453,2724554,5965.54
13453,2724716,5965.54
13453,2724884,5965.54
13453,2725024,5965.54
13453,2725181,5965.54
13453,2725333,5965.54
13453,2725531,5965.54
13453,2725690,5965.54
13453,2725890,5965.54
13453,2726009,5965.54
13453,2726178,5965.54
13453,2729271,5965.54
13453,2753757,5965.54
13453,2780305,5965.54
13453,2807440,5965.54
13453,2835154,5964.33
13453,2863102,5964.33
13453,2891199,5964.72
13453,2919604,5964.72
13453,2947769,5964.67
13453,2976341,5964.67
13453,3005158,5964.66
13453,3033634,5964.66
13453,3062218,5964.66
13453,3090646,5964.6
13453,3119130,5964.6
13453,3147817,5964.66
13453,3176441,5964.66
13453,3204767,5964.77
13453,3233455,5964.77
13453,3261995,5964.68
13453,3290373,5964.68
13453,3318940,5964.68
13453,3347728,5964.63
13453,3376514,5964.63
13453,3405214,5964.6
13453,3434175,5964.6
13453,3462702,5964.52
13453,3491165,5964.52
