runnum,evnum,HALLA_p
12314,59519,9858.81
12314,6612514,9858.48
12314,6639136,9859.47
12314,6666406,9859.47
12314,6693627,9858.95
12314,6720673,9858.95
12314,6747613,9859.04
12314,6774785,9859.04
12314,6801826,9859.04
12314,6828824,9859.12
12314,6855902,9859.12
12314,6882964,9859.15
12314,6910349,9859.15
12314,6937601,9858.86
12314,6964700,9858.86
12314,6991965,9858.99
12314,7018877,9858.99
12314,7045953,9858.99
12314,7073007,9858.88
12314,7100330,9858.88
12314,7127207,9859.1
12314,7154074,9859.1
12314,7180889,9858.93
12314,7207723,9858.93
12314,7234817,9858.96
12314,7261860,9858.96
12314,679012,9859.07
12314,705899,9859.07
12314,7288871,9859.22
12314,7315753,9859.22
12314,7342742,9859.22
12314,7369652,9858.96
12314,7396825,9858.96
12314,7424019,9859.03
12314,7451029,9859.03
12314,7478040,9859.56
12314,7486995,9859.56
12314,7487170,9859.14
12314,7487327,9859.14
12314,7496724,9859.14
12314,7523625,9859.66
12314,7550739,9859.66
12314,7577741,9858.65
12314,7604776,9858.65
12314,7631782,9858.93
12314,7658898,9858.93
12314,7686175,9859.04
12314,7713319,9859.04
12314,7740446,9859.04
12314,7767566,9859.59
12314,7794650,9859.59
12314,7821630,9858.97
12314,7848853,9858.97
12314,7876348,9858.96
12314,7903886,9858.96
12314,732843,9859.33
12314,759926,9859.33
12314,786959,9859.06
12314,7931537,9858.96
12314,7959088,9859.04
12314,7986473,9859.04
12314,8013964,9858.85
12314,8041191,9858.85
12314,8068192,9858.96
12314,8095125,9858.96
12314,8122060,9858.96
12314,8149033,9859.02
12314,8176143,9859.02
12314,8203001,9858.95
12314,8229875,9858.95
12314,8256784,9859.05
12314,8283688,9859.05
12314,8310732,9858.98
12314,8337734,9858.98
12314,8364648,9858.98
12314,8391723,9859.11
12314,8418723,9859.11
12314,8445781,9859.02
12314,8472974,9859.02
12314,8500252,9859.08
12314,8527126,9859.08
12314,8554406,9858.97
12314,8581390,9858.97
12314,813862,9859.06
12314,840691,9858.99
12314,8608163,9859.02
12314,8635041,9859.02
12314,8662307,9859.02
12314,8689716,9859.61
12314,8716920,9859.61
12314,8744076,9859.08
12314,8770963,9859.08
12314,8798093,9858.96
12314,8825136,9858.96
12314,8852548,9859.1
12314,8879887,9859.1
12314,8907150,9859.1
12314,8934182,9858.98
12314,8961176,9858.98
12314,8988451,9859.07
12314,9015674,9859.07
12314,9042705,9859.05
12314,9069519,9859.05
12314,9096680,9859.11
12314,9123867,9859.11
12314,9150995,9859.11
12314,9177890,9859.98
12314,9205006,9859.98
12314,9231678,9859.09
12314,867696,9858.99
12314,894815,9858.99
12314,922103,9858.99
12314,9258639,9859.09
12314,9285723,9857.63
12314,9313215,9857.63
12314,9340706,9860.18
12314,9367903,9860.18
12314,9394985,9860.18
12314,9421838,9859.09
12314,9448891,9859.09
12314,9476022,9859.21
12314,9503247,9859.21
12314,9530386,9859.14
12314,9557529,9859.14
12314,9584427,9859.14
12314,9611434,9858.97
12314,9638559,9858.97
12314,9665673,9858.9
12314,9692438,9858.9
12314,9719524,9859.12
12314,9746772,9859.12
12314,9773974,9859.11
12314,9801468,9859.11
12314,9828938,9859.24
12314,9855947,9859.24
12314,9883043,9859.24
12314,949299,9858.99
12314,976621,9859.1
12314,9910378,9859.06
12314,9937511,9859.06
12314,9964710,9859.06
12314,9991695,9859.06
12314,10018706,9859.13
12314,10046258,9859.13
12314,10073756,9858.92
12314,10100893,9858.92
12314,10128014,9858.92
12314,10155339,9859.01
12314,10182607,9859.01
12314,10209606,9858.95
12314,10235558,9858.95
12314,10262555,9859.13
12314,10289629,9859.13
12314,10317000,9858.88
12314,10344276,9858.88
12314,10371344,9859.07
12314,10398525,9859.07
12314,10425896,9859.07
12314,10453373,9859
12314,10480671,9859
12314,10507827,9859.5
12314,10535059,9859.5
12314,1003823,9859.1
12314,1031013,9858.88
12314,10562484,9858.81
12314,10590072,9858.81
12314,10616980,9859.2
12314,10643877,9859.2
12314,10670621,9859.2
12314,10697788,9858.85
12314,10724004,9858.85
12314,10750916,9859.12
12314,10778047,9859.12
12314,10805041,9858.97
12314,10832441,9858.97
12314,10859681,9858.98
12314,10886787,9858.98
12314,10913662,9859.06
12314,10940958,9859.06
12314,10968690,9859.06
12314,10995936,9859.06
12314,11023158,9859.06
12314,11050072,9859.11
12314,11077009,9859.11
12314,11104031,9859.11
12314,11131169,9859.82
12314,11158150,9859.82
12314,11185247,9858.9
12314,11212638,9858.9
12314,1057865,9858.88
12314,1085210,9859.06
12314,1112306,9859.06
12314,11239264,9859.16
12314,11266454,9859.16
12314,11293516,9859.16
12314,11320544,9859.02
12314,11347610,9859.02
12314,11374353,9859.11
12314,11401037,9859.11
12314,11428135,9858.95
12314,11455645,9858.95
12314,11482782,9858.95
12314,11509921,9859.13
12314,11537062,9859.13
12314,11564108,9859.96
12314,11591337,9859.96
12314,11618268,9860.97
12314,11645195,9860.97
12314,11672058,9860.97
12314,11699145,9859.27
12314,11726239,9859.27
12314,11753432,9859.19
12314,11780886,9859.19
12314,11808219,9858.97
12314,11835329,9858.97
12314,11862351,9859.04
12314,1139170,9859.07
12314,1166219,9859.07
12314,11889291,9859.04
12314,11916192,9858.96
12314,11943066,9858.96
12314,11969940,9858.96
12314,11996878,9859.06
12314,12023839,9859.06
12314,12050982,9859.02
12314,12078359,9859.02
12314,12105950,9859.04
12314,12133283,9859.04
12314,12160605,9859.09
12314,12188044,9859.09
12314,12215396,9859.09
12314,12242818,9859.43
12314,12269928,9859.43
12314,12297311,9859.1
12314,12324533,9859.1
12314,12351889,9859.02
12314,12379283,9859.02
12314,12406595,9859.03
12314,12433815,9859.03
12314,12460819,9859.75
12314,12487979,9859.75
12314,12514976,9859.75
12314,1193379,9858.93
12314,1220292,9858.93
12314,1247210,9858.93
12314,12541969,9859.09
12314,12569106,9859.09
12314,12596194,9859.11
12314,12623427,9859.11
12314,12650789,9859.11
12314,12678050,9859.11
12314,12705549,9859.11
12314,12732682,9859.18
12314,12759711,9859.18
12314,12786707,9859.16
12314,12813585,9859.16
12314,12840709,9859.16
12314,12867702,9859.11
12314,12894672,9859.11
12314,12921962,9859.02
12314,12933627,9859.02
12314,12933777,9859.02
12314,12933949,9859.66
12314,12934114,9859.66
12314,12935155,9859.66
12314,12954332,9859.66
12314,12981291,9859.08
12314,13008555,9859.08
12314,13035920,9859.08
12314,13063071,9859.08
12314,13090359,9859.08
12314,13117726,9859.06
12314,13144985,9859.06
12314,13172070,9859
12314,1274456,9858.98
12314,1301770,9858.98
12314,86389,9858.81
12314,113321,9859.06
12314,13199140,9859
12314,13226515,9859.24
12314,13253918,9859.24
12314,13281249,9859.6
12314,13308476,9859.6
12314,13336076,9859.6
