runnum,evnum,HALLA_p
13660,643,4014.53
13660,945,4014.53
13660,1242,4014.53
13660,1515,4014.53
13660,1817,4014.53
13660,2121,4014.53
13660,2423,4014.53
13660,2721,4014.53
13660,3009,4014.53
13660,3314,4014.53
13660,3614,4014.53
13660,3910,4014.53
13660,4196,4014.53
13660,4413,4014.53
13660,4781,4014.53
13660,5081,4014.53
13660,5370,4014.53
13660,5670,4014.53
13660,5958,4014.53
13660,6162,4014.53
13660,6465,4014.53
13660,6770,4014.53
13660,7068,4014.53
13660,7356,4014.53
13660,7648,4014.53
13660,7857,4014.53
13660,8248,4014.53
13660,8530,4014.53
13660,8818,4014.53
13660,9118,4014.53
13660,9407,4014.53
13660,9699,4014.53
13660,9994,4014.53
13660,10297,4014.53
13660,10497,4014.53
13660,10878,4014.53
13660,11090,4014.53
13660,11382,4014.53
13660,11781,4014.53
13660,11996,4014.53
13660,12299,4014.53
13660,12602,4014.53
13660,12908,4014.53
13660,13220,4014.53
13660,13521,4014.53
13660,22513,4014.53
13660,38378,4014.53
13660,55010,4014.53
13660,72120,4014.81
13660,89439,4014.81
13660,107757,4014.87
13660,125643,4014.87
13660,143700,4014.83
13660,162133,4014.83
13660,180670,4014.86
13660,199390,4014.86
13660,217948,4014.86
13660,236984,4014.77
13660,256067,4014.77
13660,274877,4014.84
13660,293837,4014.84
13660,312931,4014.77
13660,332015,4014.77
13660,351283,4014.82
13660,370655,4014.82
13660,389623,4014.82
13660,408765,4014.8
13660,428366,4014.8
13660,447812,4014.85
13660,467250,4014.85
13660,486765,4014.81
13660,506039,4014.81
13660,525538,4014.81
13660,545374,4014.82
13660,564565,4014.82
13660,583771,4014.83
13660,603119,4014.83
13660,622684,4014.87
13660,642257,4014.87
13660,662115,4014.79
13660,681555,4014.79
13660,701245,4014.79
13660,720562,4014.84
13660,740165,4014.84
13660,759913,4014.76
13660,779377,4014.76
13660,798908,4014.81
13660,818504,4014.81
13660,838323,4014.81
13660,857679,4014.8
13660,877083,4014.8
13660,896918,4014.86
13660,916818,4014.86
13660,936614,4014.87
13660,956522,4014.87
13660,976097,4014.84
13660,996061,4014.84
13660,1015637,4014.84
13660,1035221,4014.8
13660,1054797,4014.8
13660,1074409,4014.8
13660,1094235,4014.8
13660,1114130,4014.79
13660,1134017,4014.79
13660,1153654,4014.77
13660,1163519,4014.77
13660,1163736,4014.77
13660,1164057,4014.53
13660,1182544,4014.53
13660,1201748,4014.53
13660,1221313,4014.53
13660,1240614,4014.87
13660,1260230,4014.87
13660,1279965,4014.84
13660,1299655,4014.84
13660,1319372,4014.84
13660,1339188,4014.82
13660,1358804,4014.82
13660,1378608,4014.8
13660,1398233,4014.8
13660,1418152,4014.87
13660,1437861,4014.87
13660,1457750,4014.87
13660,1477574,4014.84
13660,1497281,4014.84
13660,1517009,4014.8
13660,1536697,4014.8
13660,1556537,4014.82
13660,1576169,4014.82
13660,1596455,4014.86
13660,1616302,4014.86
13660,1636054,4014.86
13660,1655862,4014.89
13660,1675976,4014.89
13660,1695815,4014.88
13660,1715503,4014.88
13660,1735238,4014.87
13660,1755278,4014.87
13660,1775032,4014.86
13660,1794990,4014.86
13660,1814979,4014.86
13660,1834799,4014.81
13660,1854669,4014.81
13660,1874385,4014.88
13660,1894439,4014.88
13660,1914305,4014.84
13660,1924029,4014.84
13660,1924323,4014.84
13660,1927257,4014.86
13660,1946115,4014.86
13660,1965469,4014.53
13660,1985322,4014.53
13660,2004971,4014.77
13660,2024630,4014.77
13660,2044514,4014.87
13660,2064356,4014.87
13660,2084093,4014.87
13660,2103679,4014.8
13660,2123528,4014.8
13660,2143257,4014.85
13660,2163151,4014.85
13660,2183026,4014.84
13660,2203112,4014.84
13660,2223080,4014.77
13660,2243044,4014.77
13660,2262873,4014.77
13660,2282843,4014.86
13660,2302801,4014.86
13660,2322668,4014.8
13660,2342787,4014.8
13660,2362722,4014.79
13660,2382424,4014.79
13660,2402312,4014.83
13660,2422412,4014.83
13660,2442092,4014.83
13660,2462386,4014.81
13660,2482288,4014.81
13660,2502272,4014.77
13660,2522247,4014.77
13660,2542199,4014.83
13660,2562313,4014.83
13660,2582148,4014.83
13660,2602230,4014.91
13660,2622034,4014.91
13660,2641899,4014.82
13660,2661759,4014.82
13660,2681701,4014.82
13660,2701951,4014.82
13660,2721777,4014.86
13660,2741914,4014.86
13660,2761971,4014.86
13660,2781957,4014.83
13660,2801922,4014.83
13660,2822135,4014.79
13660,2841977,4014.79
13660,2862192,4014.84
13660,2882253,4014.84
13660,2901983,4014.84
13660,2922238,4014.84
13660,2942280,4014.84
13660,2962004,4014.78
13660,2981903,4014.78
13660,3001717,4014.85
13660,3021784,4014.85
13660,3042172,4014.79
13660,3062117,4014.79
13660,3075931,4014.79
13660,3076222,4014.81
13660,3076538,4014.81
13660,3076832,4014.53
13660,3077134,4014.53
13660,3077435,4014.53
13660,3077726,4014.53
13660,3077973,4014.53
13660,3078266,4014.53
13660,3078565,4014.53
13660,3078863,4014.53
13660,3079168,4014.53
13660,3079447,4014.53
13660,3079752,4014.53
13660,3080039,4014.53
13660,3080334,4014.53
13660,3080633,4014.53
13660,3080935,4014.53
13660,3086942,4014.53
13660,3105266,4014.53
13660,3124122,4014.53
13660,3144533,4014.84
13660,3165145,4014.84
13660,3184607,4014.79
13660,3203708,4014.79
13660,3222907,4014.79
13660,3242082,4014.8
13660,3261632,4014.8
13660,3280811,4014.91
13660,3300219,4014.91
13660,3319736,4014.86
13660,3339020,4014.86
13660,3358363,4014.8
13660,3377788,4014.8
13660,3396938,4014.8
13660,3416424,4014.8
13660,3435985,4014.8
13660,3455598,4014.82
13660,3474932,4014.82
13660,3494232,4014.85
13660,3513714,4014.85
13660,3528302,4014.85
13660,3528607,4014.83
13660,3528912,4014.83
13660,3529206,4014.53
13660,3541180,4014.53
13660,3559609,4014.53
13660,3578920,4014.53
13660,3598242,4014.83
13660,3617316,4014.83
13660,3636785,4014.83
13660,3656087,4014.82
13660,3675456,4014.82
13660,3694932,4014.81
13660,3714314,4014.81
13660,3733785,4014.78
13660,3753269,4014.78
13660,3772455,4014.8
13660,3792163,4014.8
13660,3811887,4014.8
13660,3831235,4014.83
13660,3850659,4014.83
13660,3869985,4014.83
13660,3889455,4014.83
