runnum,evnum,HALLA_p
11449,67427,3728.41
11449,121595,3728.32
11449,175856,3728.43
11449,229882,3728.35
11449,284971,3728.36
11449,339053,3728.41
11449,394217,3728.24
11449,448478,3728.41
11449,502429,3728.35
11449,557810,3728.28
11449,612191,3728.39
11449,666232,3728.3
11449,720732,3728.33
11449,773982,3728.36
11449,829564,3728.32
11449,8218,3728.36
11449,61981,3728.31
11449,73390,3728.37
11449,74564,3727.81
11449,103243,3727.81
11449,158101,3728.31
11449,211533,3728.36
11449,266914,3728.39
11449,321574,3728.3
11449,375953,3728.32
11449,429849,3728.36
11449,484511,3728.43
11449,539342,3728.47
11449,594606,3728.36
11449,648626,3728.49
11449,702616,3728.39
11449,757427,3728.41
11449,811589,3728.31
11449,866224,3728.45
11449,41309,3728.41
11449,66620,3728.38
11449,66630,3727.81
11449,66638,3727.81
11449,68133,3727.81
11449,117819,3728.65
11449,172519,3728.64
11449,226641,3728.63
11449,279369,3728.7
11449,333286,3728.67
11449,388157,3728.65
11449,442992,3728.62
11449,497478,3728.68
11449,552785,3728.69
11451,9,3727.81
11451,8984,3727.81
11451,12708,3728.07
11451,12716,3727.81
11451,12727,3727.81
11451,12737,3727.81
11451,13115,3727.81
11451,26548,3728.32
11451,41773,3728.29
11451,52784,3728.33
11451,57584,3727.81
11451,61407,3727.81
11451,75512,3728.65
11451,90345,3728.24
11451,105172,3728.2
11451,122110,3728.18
11451,140263,3728.29
11451,158860,3728.21
11451,178944,3728.2
11451,203267,3728.3
11451,232683,3728.29
11451,247872,3728.29
11451,256938,3727.81
11451,271673,3728.24
11451,289074,3728.29
11451,319272,3728.25
11451,358936,3728.28
11451,399123,3728.32
11451,461991,3728.19
11451,531245,3728.24
11451,600370,3728.2
11451,669085,3728.24
11451,737905,3728.25
11451,806825,3728.32
11451,876714,3728.23
11451,946566,3728.31
11451,31612,3728.25
11451,100803,3728.32
11451,142413,3728.4
11451,142433,3727.81
11451,163070,3728.5
11451,168057,3727.81
11451,184367,3727.97
11451,245554,3728.18
11451,314034,3728.26
11451,383411,3728.25
11451,452317,3728.29
11451,521582,3728.25
11451,590508,3728.25
11451,659928,3728.25
11451,728711,3728.27
11451,797675,3728.38
11451,866311,3728.23
11451,52482,3728.18
11451,121535,3728.32
11451,190785,3728.27
11451,259534,3728.22
11451,278317,3728.42
11451,287907,3727.81
11451,356553,3728.49
11451,425897,3728.16
11451,494634,3728.08
11451,563546,3728.04
11451,632351,3728.31
11451,701600,3728.34
11451,771254,3728.14
11451,840603,3728.23
11451,30638,3728.26
11451,30726,3728.33
11451,30737,3727.81
11451,30745,3727.81
11451,30756,3727.81
11451,30764,3727.81
11451,30772,3727.81
11452,64992,3728.29
11452,121053,3728.27
11452,176471,3728.23
11452,231377,3728.22
11452,285696,3728.25
11452,339432,3728.23
11452,394617,3728.31
11452,450005,3728.24
11452,504801,3728.31
11452,559575,3728.3
11452,614751,3728.23
11452,669541,3728.27
11452,723693,3728.26
11452,777951,3728.19
11452,832739,3728.34
11452,14940,3728.24
11452,69886,3728.3
11452,123068,3728.27
11452,175803,3728.26
11452,230622,3728.45
11452,284899,3728.42
11452,339719,3728.26
11452,395497,3728.32
11452,450728,3728.28
11452,505866,3728.23
11452,560203,3728.32
11452,615163,3728.28
11452,669633,3728.35
11452,724765,3728.29
11452,778869,3728.31
11452,832829,3728.3
11452,11807,3728.21
11452,66845,3728.28
11452,121985,3728.27
11452,177173,3728.28
11452,232095,3728.23
11452,246645,3728.25
11452,253446,3727.81
11452,306784,3727.81
11452,361715,3728.4
11452,415967,3728.26
11452,471290,3728.27
11452,526441,3728.37
11452,581347,3728.3
11452,636042,3728.22
11452,691226,3728.3
11452,745863,3728.36
11452,800613,3728.25
11452,855492,3728.4
11452,37600,3728.33
11452,91665,3728.3
11452,145807,3728.27
11452,201998,3728.28
11452,256420,3728.27
11452,310999,3728.29
11452,365579,3728.31
11452,420889,3728.35
11452,475307,3728.24
11452,530426,3728.34
11452,586358,3728.25
11452,642013,3728.27
11452,697372,3728.23
11452,744680,3728.27
11452,744731,3728.25
11452,767206,3727.81
11452,780986,3728.62
11452,803904,3727.81
11452,803913,3727.81
11452,803937,3727.81
11452,803980,3727.81
11452,805787,3727.81
11452,840861,3728.33
11452,18849,3728.26
11452,72383,3728.24
11452,125660,3728.29
11452,179385,3728.3
11452,233917,3728.22
11452,289114,3728.28
11452,345297,3728.25
11452,400390,3728.23
11452,455002,3728.23
11452,509141,3728.29
11452,564412,3728.26
11452,620614,3728.25
11452,676298,3728.3
11452,730947,3728.33
11452,785740,3728.26
11452,840317,3728.31
11452,22611,3728.31
11452,77773,3728.2
11452,132492,3728.28
11452,187878,3728.29
11452,242774,3728.29
11452,297703,3728.24
11452,351976,3728.24
11452,406866,3728.33
11452,462171,3728.25
11452,515414,3728.29
11452,570358,3728.36
11452,624859,3728.26
11452,678890,3728.24
11452,732439,3728.28
11452,786782,3728.25
11452,841167,3728.32
11452,21067,3728.29
11452,76968,3728.31
11452,132300,3728.27
11452,186291,3728.33
11452,242021,3728.2
11452,297289,3728.31
11452,352461,3728.22
11452,406368,3728.27
11452,461238,3728.22
11452,516520,3728.28
