runnum,evnum,HALLA_p
13305,54121,5964.82
13305,74093,5964.75
13305,93814,5964.75
13305,113527,5964.81
13305,133368,5964.81
13305,153194,5964.75
13305,173018,5964.75
13305,192870,5964.75
13305,212564,5964.79
13305,232280,5964.79
13305,251987,5964.76
13305,271980,5964.76
13305,291713,5964.8
13305,311666,5964.8
13305,331507,5964.7
13305,351735,5964.7
13305,371580,5964.7
13305,391600,5964.73
13305,411340,5964.73
13305,431327,5964.82
13305,451299,5964.82
13305,470965,5964.7
13305,490981,5964.7
13305,510964,5964.89
13305,530435,5964.89
13305,536368,5964.89
13305,536678,5964.8
13305,537043,5964.8
13305,537358,5965.54
13305,537602,5965.54
13305,546491,5965.54
13305,565772,5965.54
13305,586133,5964.75
13305,599593,5964.75
13305,599921,5964.75
13305,600146,5964.48
13305,611492,5964.48
13305,631475,5965.54
13305,652118,5965.54
13305,672832,5964.65
13305,693160,5964.65
13305,713801,5964.72
13305,734232,5964.72
13305,754603,5964.72
13305,775077,5964.8
13305,7694148,5964.74
13305,7716525,5964.7
13305,7738681,5964.7
13305,7760448,5964.7
13305,7782310,5964.75
13305,7804102,5964.75
13305,7826065,5964.7
13305,7848031,5964.7
13305,7869596,5964.73
13305,7891420,5964.73
13305,7913505,5964.84
13305,7935395,5964.84
13305,7957383,5964.84
13305,7979403,5964.83
13305,8001310,5964.83
13305,8023490,5964.72
13305,8045636,5964.72
13305,8067251,5964.79
13305,795688,5964.8
13305,815901,5964.77
13305,836368,5964.77
13305,856765,5964.78
13305,877488,5964.78
13305,898293,5964.74
13305,918854,5964.74
13305,939288,5964.75
13305,960196,5964.75
13305,980634,5964.75
13305,1001429,5964.64
13305,1021995,5964.64
13305,1042868,5964.74
13305,1063637,5964.74
13305,1084451,5964.78
13305,1105298,5964.78
13305,1126062,5964.77
13305,1147042,5964.77
13305,1561115,5964.8
13305,1581854,5964.8
13305,1602210,5964.83
13305,1623199,5964.83
13305,1643923,5964.7
13305,1664681,5964.7
13305,1685682,5964.75
13305,1706537,5964.75
