runnum,totcharge_bob(C),totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
12424,0.00948454,0.00853978,0.992224,0.992226
12425,0.0167702,0.0151059,0.992593,0.992595
12473,0.0175244,0.0157721,0.971261,0.971378
12474,0.0476727,0.0428121,0.967726,0.967845
12478,0.0322881,0.0289925,0.9675,0.967617
12479,0.0326255,0.0292818,0.965531,0.965645
12480,0.0317814,0.0285203,0.955861,0.95597
12481,-99.0,0.0121433,0.946662,0.946783
12482,0.0181052,0.016247,0.955168,0.955274
12485,0.0335731,0.0301329,0.961356,0.961467
12486,0.030743,0.027601,0.961023,0.961135
12498,0.0180664,0.0162078,0.968533,0.968642
12499,0.0295717,0.0265208,0.967394,0.967504
12500,0.00760819,0.0068212,0.96701,0.967133
12501,0.00039332,0.000351186,0.978003,0.978085
12502,0.0203249,0.0180723,0.905875,0.906292
12512,0.0342237,0.0307011,0.967889,0.968005
12513,0.0345378,0.0309957,0.962489,0.962598
12514,0.0326277,0.0292832,0.968436,0.968551
12515,0.0186512,0.0167391,0.965537,0.965649
12516,0.0289713,0.0260071,0.970128,0.970239
12517,9.8079e-05,7.85587e-05,1.03071,1.03082
12521,0.0355694,0.0319314,0.969653,0.969771
12523,0.0240572,0.0215826,0.924603,0.924711
12527,0.0341207,0.0235809,0.84226,0.842353
12532,0.0299694,0.0268895,0.843416,0.843514
12534,0.0300944,0.0269938,0.8802,0.880305
12535,0.0181193,0.0162786,0.884604,0.8847
12536,0.0232881,0.0209012,0.875771,0.875867
12537,0.0253838,0.0227891,0.892209,0.892312
12538,0.0054586,0.00488789,0.895711,0.89581
12539,0.0308224,0.0273828,0.905184,0.905291
12541,0.0326133,0.0292565,0.969804,0.969916
12542,0.033071,0.0297071,0.970763,0.97087
12543,0.0455255,0.0408449,0.96994,0.970051
12544,0.012929,0.0116271,0.969262,0.969379
12547,0.0339447,0.0304574,0.972666,0.972771
12549,0.0344148,0.0308769,0.970491,0.9706
12550,0.0349223,0.0313421,0.970776,0.970886
12551,0.032761,0.0293901,0.971178,0.971287
12552,0.0317005,0.0284438,0.970909,0.971013
12553,0.0367581,0.0329768,0.968893,0.969006
12554,0.0325262,0.0292018,0.964343,0.964452
12556,0.0274363,0.0243386,0.968662,0.968768
12558,-99.0,0.0155902,0.947762,0.947871
12559,-99.0,0.038516,0.927313,0.927422
12565,-99.0,0.0379649,0.954019,0.954123
12566,-99.0,0.0392956,0.963017,0.963119
12567,-99.0,0.0387171,0.97266,0.972767
12568,-99.0,0.0383185,0.968674,0.968784
12569,-99.0,0.0418592,0.95543,0.955539
