runnum,totcharge_bob(C),totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
13757,0.00215046,0.00147072,0.962895,0.962893
13758,0.00219645,0.00146646,0.961501,0.961506
13760,0.00212486,0.00144441,0.970743,0.970746
13761,0.0126315,0.00146737,0.966354,0.966356
13764,0.0423307,0.0379567,0.958697,0.958699
13765,0.0442938,0.0397089,0.961957,0.96196
13766,0.0446992,0.0400685,0.96717,0.967173
13767,0.0379721,0.0340459,0.960006,0.960009
13770,0.0453756,0.0406726,0.955039,0.955043
13771,0.0191226,0.00980597,0.951157,0.951159
13773,0.0434849,0.0390088,0.953171,0.953175
13775,0.0160538,0.0144313,0.957526,0.95753
13776,0.0631364,0.0565864,0.950202,0.950205
13777,0.0433373,0.0388474,0.963656,0.963659
13778,0.088286,0.0791555,0.950004,0.950007
13779,0.0876213,0.0785586,0.949878,0.949881
13793,0.0267659,0.0240071,0.951103,0.951107
13797,0.0507723,0.045499,0.95295,0.952953
13798,0.0427832,0.0383296,0.963683,0.963687
13799,0.0397535,0.035655,0.956673,0.956677
